Number,Event,Type,Matthew,Mark,Luke,John
130,Woes of the Pharisees,ministry,Matthew 23:01–39,Mark 12:35–37,Luke 20:45–47,
131,Widow's mite,sermon,,Mark 12:41–44,Luke 21:01-04,
132,Second Coming Prophecy,ministry,Matthew 24:01–31,Mark 13:01–27,Luke 21:05–36,
133,The Budding Fig Tree,parable,Matthew 24:32–35,Mark 13:28–31,Luke 21:29–33,
134,The Faithful Servant,parable,Matthew 24:42–51,Mark 13:34–37,Luke 12:35–48,
135,The Ten Virgins,parable,Matthew 25:01–13,,,
136,The Talents or Minas,parable,Matthew 25:14–30,,Luke 19:12–27,
137,The Sheep and the Goats,parable,Matthew 25:31–46,,,
138,Anointing of Jesus,ministry,Matthew 26:01–13,Mark 14:03-09,Luke 7:36–50,John 12:02-08
139,Bargain of Judas,miscellaneous,Matthew 26:14–16,Mark 14:10–11,Luke 22:01-06,
140,The Grain of Wheat,ministry,,,,John 12:24–26
141,Last Supper,ministry,Matthew 26:26–29,Mark 14:18–21,Luke 22:17–20,John 13:01–31
142,Promising a Paraclete,ministry,,,,John 16:05–15
143,Gethsemane,miscellaneous,Matthew 26:36–46,Mark 14:32–42,Luke 22:39–46,
144,The kiss of Judas,passion,Matthew 26:47–49,Mark 14:43–45,Luke 22:47–48,John 18:02-09
145,Healing the ear of a servant,miracle,,,Luke 22:49–51,
