Number,Event,Type,Matthew,Mark,Luke,John
146,Arrest of Jesus,passion,Matthew 26:50–56,Mark 14:46–49,Luke 22:52–54,John 18:10–12
147,Sanhedrin Trial of Jesus,passion,Matthew 26:57–68,Mark 14:53–65,Luke 22:63–71,John 18:12–24
148,Blood curse,passion,Matthew 27:24–25,,,
149,Carrying the cross,passion,Matthew 27:27–33,Mark 15:20–22,Luke 23:26–32,John 19:16–17
150,Crucifixion of Jesus,passion,Matthew 27:34–61,Mark 15:23–47,Luke 23:33–54,John 19:18–38
151,Myrrhbearers,resurrection appearance,Matthew 28:01,Mark 16:01,Luke 24:01,
152,Empty tomb,resurrection appearance,Matthew 28:02-08,Mark 16:02-08,Luke 24:02–12,John 20:01–13
153,Resurrection of Jesus,resurrection appearance,Matthew 28:09–10,,Luke 24:01-08,John 20:14–16
154,Noli me tangere,resurrection appearance,,,,John 20:17–17
155,Road to Emmaus appearance,resurrection appearance,,Mark 16:12–13*,Luke 24:13–32,
156,Resurrected Jesus appears to Apostles,resurrection appearance,,,Luke 24:36–43,John 20:19–20
157,Great Commission,resurrection appearance,Matthew 28:16–20,Mark 16:14–18*,Luke 24:44–49,John 20:21–23
158,Doubting Thomas,resurrection appearance,,,,John 20:24–29
159,Catch of 153 fish,miracle,,,,John 21:01–24
160,Ascension of Jesus,resurrection appearance,,Mark 16:19–20*,Luke 24:50–53,
