Number,Event,Type,Matthew,Mark,Luke,John
114,The Workers in the Vineyard,parable,Matthew 20:01–16,,,
115,Jesus predicts his death,ministry,Matthew 20:17–19,Mark 10:32–34,Luke 18:31–34,
116,The Blind at Birth,miracle,,,,John 09:01–12
117,Son of man came to serve,ministry,Matthew 20:20–28,Mark 10:35–45,,
118,The Good Shepherd,ministry,,,,John 10:01–21
119,Blind near Jericho,miracle,Matthew 20:29–34,Mark 10:46–52,Luke 18:35–43,
120,Raising of Lazarus,miracle,,,,John 11:01–44
121,Jesus and Zacchaeus,ministry,,,Luke 19:02–28,
122,Palm Sunday,ministry,Matthew 21:01–11,Mark 11:01–11,Luke 19:29–44,John 12:12–19
123,Cleansing of the Temple,ministry,Matthew 21:12–13,Mark 11:15–18,Luke 19:45–48,John 02:13–25
124,Cursing the fig tree,miracle,Matthew 21:18–22,Mark 11:12–14,,
125,Authority of Jesus Questioned,ministry,Matthew 21:23–27,Mark 11:27–33,Luke 20:01–08,
126,The Two Sons,parable,Matthew 21:28–32,,,
127,The Wicked Husbandmen,parable,Matthew 21:33–41,Mark 12:01–09,Luke 20:09–16,
128,The Great Banquet,parable,Matthew 22:01–14,,Luke 14:16–24,
129,Render unto Caesar...,ministry,Matthew 22:15–22,Mark 12:13–17,Luke 20:20–26,
