Number,Event,Type,Matthew,Mark,Luke,John
98,The Little Children,ministry,Matthew 18:01–06,Mark 09:33–37,Luke 09:46–48,
99,Man with dropsy,miracle,,,Luke 14:01–06,
100,Counting the Cost,parable,,,Luke 14:25–33,
101,The Lost Sheep,parable,Matthew 18:10–14,,Luke 15:04–06,
102,The Unforgiving Servant,parable,Matthew 18:23–35,,,
103,The Little Children,ministry,Matthew 18:01–06,Mark 09:33–37,Luke 09:46–48,
104,The Lost Coin,parable,,,Luke 15:08–09,
105,Parable of the Prodigal Son,parable,,,Luke 15:11–32,
106,The Unjust Steward,parable,,,Luke 16:01–13,
107,Rich man and Lazarus,parable,,,Luke 16:19–31,
108,The Master and Servant,parable,,,Luke 17:07–10,
109,Cleansing ten lepers,miracle,,,Luke 17:11–19,
110,The Unjust Judge,parable,,,Luke 18:01–09,
111,Pharisees and the Publican,parable,,,Luke 18:10–14,
112,Jesus and the rich young man,ministry,Matthew 19:16–30,Mark 10:17–31,Luke 18:18–30,
113,Jesus and the woman taken in adultery,ministry,,,,John 08:02–11
