Number,Event,Type,Matthew,Mark,Luke,John
1,Pre-existence of Christ,miscellaneous,,,,John 01:01–18
2,Genealogy of Jesus,nativity,Matthew 01:01–17,,Luke 03:23–38,
3,Birth of John the Baptist,nativity,,,Luke 01:05–25,
4,Annunciation,nativity,,,Luke 01:26–38,
5,Visitation of Mary,nativity,,,Luke 01:39–56,
6,Birth of Jesus,nativity,Matthew 01:18–25,,Luke 02:01–07,
7,Annunciation to the shepherds,nativity,,,Luke 02:08–15,
8,Adoration of the shepherds,nativity,,,Luke 02:16–20,
9,Circumcision of Jesus,nativity,,,Luke 02:21,
10,Infant Jesus at the Temple,nativity,,,Luke 02:22–38,
11,Star of Bethlehem,nativity,Matthew 02:01–02,,,
12,Visit of the Magi,nativity,Matthew 02:03–12,,,
13,Flight into Egypt,nativity,Matthew 02:13–15,,,
14,Massacre of the Innocents,nativity,Matthew 02:16–18,,,
15,Herod the Great's death,miscellaneous,Matthew 02:19–20,,,
16,Return of young Jesus to Nazareth,youth,Matthew 02:21–23,,Luke 02:39–39,
