Number,Event,Type,Matthew,Mark,Luke,John
82,The Hidden Treasure,parable,Matthew 13:52–52,,,
83,Rejection of Jesus,ministry,Matthew 13:54–58,,,
84,Beheading of St. John the Baptist,ministry,Matthew 14:06–12,Mark 06:21–29,,
85,Feeding the 5000,miracle,Matthew 14:13–21,Mark 06:31–34,Luke 09:10–17,John 06:05–15
86,Jesus' walk on water,miracle,Matthew 14:22–33,Mark 06:45–52,,John 06:16–21
87,Healing in Gennesaret,miracle,Matthew 14:34–36,Mark 06:53–56,,
88,Discourse on Defilement,sermon,Matthew 15:01–11,Mark 07:01–23,,
89,Canaanite woman's daughter,miracle,Matthew 15:21–28,Mark 07:24–30,,
90,Deaf mute of Decapolis,miracle,,Mark 07:31–37,,
91,Feeding the 4000,miracle,Matthew 15:32–39,Mark 08:01–09,,
92,Blind Man of Bethsaida,miracle,,Mark 08:22–26,,
93,Confession of Peter,ministry,Matthew 16:13–20,Mark 08:27–30,Luke 09:18–21,
94,Transfiguration of Jesus,miracle,Matthew 17:01–13,Mark 09:02–13,Luke 09:28–36,
95,Boy possessed by a demon,miracle,Matthew 17:14–21,Mark 09:14–29,Luke 09:37–49,
96,Coin in the fish's mouth,miracle,Matthew 17:24–27,,,
97,Bread of Life Discourse,sermon,,,,John 06:22–59
