1962,The Trial/le Proces,Hilda,Notes
1983,The King of Comedy,Herself,scenes deleted
1984,The Muppets Take Manhattan,Herself,
1985,That's Dancing!,Herself – Host,
1987,Rent-a-Cop,Della Roberts,Golden Raspberry Award for Worst Actress
1988,Arthur 2: On the Rocks,Linda Marolla Bach,Golden Raspberry Award for Worst Actress
1991,Stepping Out,Mavis Turner,
1994,A Century of Cinema,Herself,documentary
1995,Unzipped,Herself – uncredited,documentary
2006,The Oh in Ohio,Alyssa Donahue,
2010,Broadway: Beyond the Golden Age,Herself,documentary
2010,Sex and the City 2,Wedding Minister/Herself,cameo appearance
2011,Lady Gaga Presents the Monster Ball Tour: At Madison Square Garden,Herself,Guest Appearance
2013,Smash,Herself,Guest Appearance
