1962,The Trial/le Proces,Hilda,Notes,Unused_1
1949,In the Good Old Summertime,Baby,uncredited,
1954,"The Long, Long Trailer",Wedding Guest,scenes deleted,
1967,Charlie Bubbles,Eliza,,
1969,The Sterile Cuckoo,'Pookie' (Mary Ann) Adams,David di Donatello for Best Foreign ActressKansas City Film Critics Circle Award for Best ActressMar del Plata Film Festival Award for Best ActressNominated — Academy Award for Best ActressNominated — BAFTA Award for Most Promising Newcomer to Leading Film RolesNominated — Golden Globe Award for Best Actress – Motion Picture Drama,
1970,"Tell Me That You Love Me, Junie Moon",Junie Moon,,
1972,Cabaret,Sally Bowles,Academy Award for Best ActressBAFTA Award for Best Actress in a Leading RoleDavid di Donatello for Best Foreign ActressGolden Globe Award for Best Actress – Motion Picture Musical or ComedySant Jordi Award for Best Performance in a Foreign Film,
1974,Just One More Time,Herself,uncredited (short subject),
1974,That's Entertainment!,Herself (narrator),,
1974,Journey Back to Oz,Dorothy,"voice (recorded in 1963, released in the U.S. in 1974)",
1975,Lucky Lady,Claire,Nominated — Golden Globe Award for Best Actress – Motion Picture Musical or Comedy,
1976,Silent Movie,Herself,,
1976,A Matter of Time,Nina,,
1977,"New York, New York",Francine Evans,Nominated — Golden Globe Award for Best Actress – Motion Picture Musical or Comedy,
1981,Arthur,Linda Marolla,Nominated — Golden Globe Award for Best Actress – Motion Picture Musical or Comedy,
