Date,Opponent,Site,Result,Attendance,Record
"Wed., Jan. 22, 1941",at Navy,"Dahlgren Hall • Annapolis, MD",W 38–18,N/A,10-1
"Wed, Jan. 29, 1941",Penn State,"Riverside Stadium • Washington, DC",W 28–24 OT,N/A,11-1
"Wed., Feb. 5, 1941",at Syracuse,"Archbold Gymnasium • Syracuse, NY",L 43–49,N/A,11-2
"Thu., Feb. 6, 1941",at Colgate,"Huntington Gymnasium • Hamilton, NY",W 39–36,N/A,12-2
"Fri., Feb. 7, 1941",at Yale,"Payne Whitney Gymnasium • New Haven, CT",W 41–39,N/A,13-2
"Mon, Feb. 10, 1941",Temple,"Riverside Stadium • Washington, DC",W 57–49,"7,000",14-2
"Wed., Feb. 19, 1941",at Penn State,"Recreation Hall • State College, PA",L 38–45,N/A,14-3
"Thu., Feb. 20, 1941",at Scranton,"Watres Armory • Scranton, PA",W 51–40,N/A,15-3
"Fri., Feb. 28, 1941",at Fordham,"Madison Square Garden • New York, NY",L 42–52,N/A,15-4
"Thu., Mar. 6, 1941",at George Washington,"Riverside Stadium • Washington, DC",W 41–34,N/A,16-4
