Date,Opponent,Site,Result,Attendance,Record,Filler_1,Dummy_Col_2,Irrelevant_3
"Thu., Dec. 5, 1940",at Loyola Maryland,"Alumni Gymnasium • Baltimore, MD",L 32–36,N/A,0-1,rvenF,HPKsPEh,9AfM4Xl
"Tue., Dec. 10, 1940",Western Maryland,"Riverside Stadium • Washington, DC",W 41–29,N/A,1-1,MPzOjf,zKvDD,c5bMR0
"Thu., Dec. 12, 1940",at American,"Clendenen Gymnasium • Washington, DC",W 41–35,N/A,2-1,xKRisnz,xuTXVReW,RoIUMXq
"Mon., Dec. 16, 1940",George Washington,"Riverside Stadium • Washington, DC",W 50–42,N/A,3-1,KSdOq,UuzTZO,e5nfNSvZ
"Wed., Dec. 18, 1940",at Loyola Chicago,"Chicago Stadium • Chicago, IL",W 38–35,N/A,4-1,Qqxrr,YJSxVbgq,Z9WjCCZw
"Wed, Jan. 8, 1941",at Canisius,"Buffalo Memorial Auditorium • Buffalo, NY",W 53–35,N/A,5-1,LQxbG,KocWuMX,g7m5f
"Fri., Jan. 10, 1941",at Temple,"Philadelphia Convention Hall • Philadelphia, PA",W 46–45,N/A,6-1,wHJTtHVX,fjDMW,r9GtHv
"Wed., Jan 15, 1941",at Army,"Hayes Gymnasium • West Point, NY",W 40–28,N/A,7-1,qDxXyZzg,EBnwu,AH9xQcRI
"Thu., Jan. 16, 1941",New York University,"Riverside Stadium • Washington, DC",W 36–27,N/A,8-1,DWHPBaS,UHPqR,HXI3O9
"Fri., Jan. 17, 1941",at Maryland,"Ritchie Coliseum • College Park, MD",W 51–34,N/A,9-1,krvcy,nwDoMf,QSPpNn
