Round,Round,Country,Circuit,Date,Pole Position,Fastest Lap,Winning Rider,Winning Team,Report,Irrelevant_1,Filler_2
8,R1,San Marino,Misano Adriatico,29 June,Troy Corser,Jakub Smrž,Max Neukirchner,Alstare Suzuki,Report,DcXdj,bonXcNh
8,R2,San Marino,Misano Adriatico,29 June,Troy Corser,Troy Corser,Rubén Xaus,Sterilgarda Go Eleven,Report,PuZhK,ptzbV
9,R1,Czech Republic,Brno,20 July,Troy Bayliss,Troy Bayliss,Troy Bayliss,Xerox Ducati,Report,7BWsi,JIeTG
9,R2,Czech Republic,Brno,20 July,Troy Bayliss,Michel Fabrizio,Troy Bayliss,Xerox Ducati,Report,lH57O,WtMQf
10,R1,Great Britain,Brands Hatch,3 August,Troy Bayliss,Ryuichi Kiyonari,Ryuichi Kiyonari,Ten Kate Honda,Report,ccZHU,ghKqpdHT
10,R2,Great Britain,Brands Hatch,3 August,Troy Bayliss,Michel Fabrizio,Ryuichi Kiyonari,Ten Kate Honda,Report,1qvj67G,QsdRUX
11,R1,Europe,Donington Park,7 September,Troy Bayliss,Troy Bayliss,Troy Bayliss,Xerox Ducati,Report,yMZD5cwo,boTouGFE
11,R2,Europe,Donington Park,7 September,Troy Bayliss,James Ellison,Ryuichi Kiyonari,Ten Kate Honda,Report,VTaEyMuS,aNroxmiC
12,R1,Italy,Vallelunga,21 September,Troy Bayliss,Carlos Checa,Noriyuki Haga,Yamaha Motor Italia,Report,ZscOi,KNdbRr
12,R2,Italy,Vallelunga,21 September,Troy Bayliss,Troy Corser,Noriyuki Haga,Yamaha Motor Italia,Report,cXUdGYET,cBrpTlA
13,R1,France,Magny-Cours,5 October,Noriyuki Haga,Carlos Checa,Noriyuki Haga,Yamaha Motor Italia,Report,B32UDv,ZRTIUfYQ
13,R2,France,Magny-Cours,5 October,Noriyuki Haga,Troy Bayliss,Troy Bayliss,Xerox Ducati,Report,rAc9TrSF,KbktGPX
14,R1,Portugal,Portimão,2 November,Troy Bayliss,Troy Bayliss,Troy Bayliss,Xerox Ducati,Report,a13dv,cDHOW
14,R2,Portugal,Portimão,2 November,Troy Bayliss,Troy Bayliss,Troy Bayliss,Xerox Ducati,Report,spTT9ug,nfqgdjgF
