Round,Round,Country,Circuit,Date,Pole Position,Fastest Lap,Winning Rider,Winning Team,Report
1,R1,Qatar,Losail,23 February,Troy Corser,Noriyuki Haga,Troy Bayliss,Xerox Ducati,Report
1,R2,Qatar,Losail,23 February,Troy Corser,Fonsi Nieto,Fonsi Nieto,Alstare Suzuki,Report
2,R1,Australia,Phillip Island,2 March,Troy Bayliss,Troy Bayliss,Troy Bayliss,Xerox Ducati,Report
2,R2,Australia,Phillip Island,2 March,Troy Bayliss,Max Biaggi,Troy Bayliss,Xerox Ducati,Report
3,R1,Spain,Valencia,6 April,Max Neukirchner,Noriyuki Haga,Lorenzo Lanzi,Team R.G,Report
3,R2,Spain,Valencia,6 April,Max Neukirchner,Carlos Checa,Noriyuki Haga,Yamaha Motor Italia,Report
4,R1,Netherlands,Assen,27 April,Troy Bayliss,Max Neukirchner,Troy Bayliss,Xerox Ducati,Report
4,R2,Netherlands,Assen,27 April,Troy Bayliss,Troy Bayliss,Troy Bayliss,Xerox Ducati,Report
5,R1,Italy,Monza,11 May,Troy Bayliss,Noriyuki Haga,Max Neukirchner,Alstare Suzuki,Report
5,R2,Italy,Monza,11 May,Troy Bayliss,Noriyuki Haga,Noriyuki Haga,Yamaha Motor Italia,Report
6,R1,United States,Miller Motorsports Park,1 June,Carlos Checa,Carlos Checa,Carlos Checa,Ten Kate Honda,Report
6,R2,United States,Miller Motorsports Park,1 June,Carlos Checa,Carlos Checa,Carlos Checa,Ten Kate Honda,Report
7,R1,Germany,Nürburgring,15 June,Max Neukirchner,Troy Bayliss,Noriyuki Haga,Yamaha Motor Italia,Report
7,R2,Germany,Nürburgring,15 June,Max Neukirchner,Noriyuki Haga,Noriyuki Haga,Yamaha Motor Italia,Report
