Region,Seed,Team,Coach,Finished,Final opponent,Score
Southeast,1,Kentucky,Eddie Sutton,Regional Runner-up,11 LSU,L 59-57
Southeast,2,Georgia Tech,Bobby Cremins,Sweet Sixteen,11 LSU,L 70-64
Southeast,3,Memphis State (Vacated),Dana Kirk,Round of 32,11 LSU,L 83-81
Southeast,4,Illinois,Lou Henson,Round of 32,5 Alabama,L 58-56
Southeast,5,Alabama,Wimp Sanderson,Sweet Sixteen,1 Kentucky,L 68-63
Southeast,6,Purdue,Gene Keady,Round of 64,11 LSU,L 94-87
Southeast,7,Virginia Tech,Charles Moir,Round of 64,10 Villanova,L 71-62
Southeast,8,Western Kentucky,Clem Haskins,Round of 32,1 Kentucky,L 71-64
Southeast,9,Nebraska,Moe Iba,Round of 64,8 Western Kentucky,L 67-59
Southeast,10,Villanova,Rollie Massimino,Round of 32,2 Georgia Tech,L 66-61
Southeast,11,LSU,Dale Brown,National Semifinals,2 Louisville,L 88-77
