Region,Seed,Team,Coach,Finished,Final opponent,Score
Southeast,12,Xavier,Pete Gillen,Round of 64,5 Alabama,L 97-80
Southeast,13,Fairfield,Mitch Buonaguro,Round of 64,4 Illinois,L 75-51
Southeast,14,Ball State,Al Brown,Round of 64,3 Memphis,L 95-63
Southeast,15,Marist,Matt Furjanic,Round of 64,2 Georgia Tech,L 68-53
Southeast,16,Davidson,Bobby Hussey,Round of 64,1 Kentucky,L 75-55
East,,,,,,
East,1,Duke,Mike Krzyzewski,Runner Up,2 Louisville,L 72-69
East,2,Syracuse,Jim Boeheim,Round of 32,7 Navy,L 97-85
East,3,Indiana,Bob Knight,Round of 64,14 Cleveland State,L 83-79
East,4,Oklahoma,Billy Tubbs,Round of 32,12 DePaul,L 74-69
East,5,Virginia,Terry Holland,Round of 64,12 DePaul,L 72-68
