Region,Seed,Team,Coach,Finished,Final opponent,Score,Unused_1,Dummy_Col_2,Filler_3
East,6,Saint Joseph's,Jim Boyle,Round of 32,14 Cleveland State,L 75-69,,xaOTQlk,NJwBcDvk
East,7,Navy,Paul Evans,Regional Runner-up,1 Duke,L 71-50,,FzWQII,YBRdW
East,8,Old Dominion,Tom Young,Round of 32,1 Duke,L 89-61,,HYrXJebJ,WXhLqLQ
East,9,West Virginia,Gale Catlett,Round of 64,8 Old Dominion,L 72-64,,bJjcOU,YfEwYpfF
East,10,Tulsa,J. D. Barnett,Round of 64,7 Navy,L 87-68,,EoxdK,VvHQnuV
East,11,Richmond,Dick Tarrant,Round of 64,6 Saint Joseph's,L 60-59,,yRwWM,uSJKKj
East,12,DePaul,Joey Meyer,Sweet Sixteen,1 Duke,L 74-67,,WhOWdXjW,ObfMC
East,13,Northeastern,Jim Calhoun,Round of 64,4 Oklahoma,L 80-74,,LngVexv,XUfGaK
East,14,Cleveland State,Kevin Mackey,Sweet Sixteen,7 Navy,L 71-70,,FeUjjweV,cKnTEUn
East,15,Brown,Mike Cingiser,Round of 64,2 Syracuse,L 101-52,,ZMwfqjZ,FgVrU
East,16,Mississippi Valley State,Lafayette Stribling,Round of 64,1 Duke,L 85-78,,jgpBEddX,MfSGM
