,Year,Name,City,Country,Guests of Honor,Size
23rd,1965,Loncon II,London,UK,Brian W. Aldiss,350
24th,1966,Tricon,"Cleveland, Ohio",United States,L. Sprague de Camp,850
25th,1967,Nycon 3,"New York, New York",United States,Lester del Rey (pro)Bob Tucker (fan),"1,500"
26th,1968,Baycon,"Berkeley, California",United States,Philip José Farmer (pro)Walter J. Daugherty (fan),"1,430"
27th,1969,St. Louiscon,"St. Louis, Missouri",United States,Jack Gaughan (pro)Eddie Jones (fan),"1,534"
28th,1970,Heicon '70,Heidelberg,West Germany,E.C. Tubb (UK)Robert Silverberg (US)Herbert W. Franke (Germany)Elliot K. Shorter (fan),620
29th,1971,Noreascon I,"Boston, Massachusetts",United States,"Clifford D. Simak (pro)Harry Warner, Jr. (fan)","1,600"
30th,1972,L.A.con I,"Los Angeles, California",United States,Frederik Pohl (pro)Buck & Juanita Coulson (fan),"2,007"
31st,1973,Torcon II,Toronto,Canada,Robert Bloch (Pro)William Rotsler (fan),"2,900"
32nd,1974,Discon II,"Washington, D.C.",United States,Roger Zelazny (pro)Jay Kay Klein (fan),"3,587"
33rd,1975,Aussiecon 1,"Melbourne, Victoria",Australia,Ursula K. Le Guin (pro)Susan Wood (fan)Mike Glicksohn (fan)Donald Tuck (Australian),606
