,Year,Name,City,Country,Guests of Honor,Size
1st,1939,Nycon I,"New York, New York",United States,Frank R. Paul,200
2nd,1940,Chicon I,"Chicago, Illinois",United States,"E. E. \Doc\"" Smith""",128
3rd,1941,Denvention I,"Denver, Colorado",United States,Robert A. Heinlein,90
4th,1946,Pacificon I,"Los Angeles, California",United States,A. E. van VogtE. Mayne Hull,130
5th,1947,Philcon I,"Philadelphia, Pennsylvania",United States,"John W. Campbell, Jr.",200
6th,1948,Torcon I,"Toronto, Ontario",Canada,Robert Bloch (Pro)Bob Tucker (fan),200
7th,1949,Cinvention,"Cincinnati, Ohio",United States,Lloyd A. Eshbach (pro)Ted Carnell (fan),190
8th,1950,Norwescon,"Portland, Oregon",United States,Anthony Boucher,400
9th,1951,Nolacon I,"New Orleans, Louisiana",United States,Fritz Leiber,190
10th,1952,TASFiC (Chicon II),"Chicago, Illinois",United States,Hugo Gernsback,870
11th,1953,Philcon II,"Philadelphia, Pennsylvania",United States,Willy Ley,750
