,Year,Name,City,Country,Guests of Honor,Size
54th,1996,L.A.con III,"Anaheim, California",United States,James White (writer)Roger Corman (media)Elsie Wollheim (special)Takumi and Sachiko Shibano (fan),"6,703"
55th,1997,LoneStarCon 2,"San Antonio, Texas",United States,Algis Budrys (pro)Michael Moorcock (pro)Don Maitz (artist)Roy Tackett (fan),"4,634(5,614)"
56th,1998,BucConeer,"Baltimore, Maryland",United States,C. J. CherryhMilton A. RothmanStanley SchmidtMichael WhelanJ. Michael Straczynski (special),"6,572"
57th,1999,Aussiecon Three,"Melbourne, Victoria",Australia,"Gregory Benford, authorGeorge Turner, authorBruce Gillespie, fan","1,626(2,872)"
58th,2000,Chicon 2000,"Chicago, Illinois",United States,Ben Bova (author)Bob Eggleton (artist)Jim Baen (editor)Bob & Anne Passovoy (fan),"5,794(6,574)"
59th,2001,Millennium Philcon,"Philadelphia, Pennsylvania",United States,Greg Bear (author)Stephen Youll (artist)Gardner Dozois (editor)George H. Scithers (fan),"4,840(6,269)"
60th,2002,ConJosé,"San Jose, California",United States,Vernor Vinge (author)David Cherry (artist)Bjo & John Trimble (fan)Ferdinand Feghoot (imaginary),"5,162(5,916)"
61st,2003,Torcon 3,Toronto,Canada,George R. R. Martin (author)Frank Kelly Freas (artist)Mike Glyer (fan)Robert Bloch (GoHst of Honor),"3,834(4,986)"
62nd,2004,Noreascon 4,"Boston, Massachusetts",United States,Terry Pratchett (pro)William Tenn (pro)Jack Speer (fan)Peter Weston (fan),"5,651(7,485)"
63rd,2005,Interaction,"Glasgow, Scotland",UK,Greg PickersgillChristopher PriestRobert SheckleyLars-Olov StrandbergJane Yolen,"4,115(5,202)"
