,Year,Name,City,Country,Guests of Honor,Size
34th,1976,MidAmeriCon,"Kansas City, Missouri",United States,Robert A. Heinlein,"3,014"
35th,1977,SunCon,"Miami Beach, Florida",United States,Jack Williamson (pro)Robert A. Madle (fan),"3,240(4,200)"
36th,1978,IguanaCon II,"Phoenix, Arizona",United States,Harlan Ellison (pro)Bill Bowers (fan),"4,700"
37th,1979,Seacon '79,Brighton,UK,Brian Aldiss (UK)Fritz Leiber (US)Harry Bell (fan),"3,114"
38th,1980,Noreascon Two,"Boston, Massachusetts",United States,Damon Knight (pro)Kate Wilhelm (pro)Bruce Pelz (fan),"5,850"
39th,1981,Denvention Two,"Denver, Colorado",United States,Clifford D. Simak (pro)C.L. Moore (pro)Rusty Hevelin (fan),"3,792"
40th,1982,Chicon IV,"Chicago, Illinois",United States,A. Bertram Chandler (pro)Frank Kelly Freas (pro)Lee Hoffman (fan),"4,275"
41st,1983,ConStellation,"Baltimore, Maryland",United States,John Brunner (pro)David A. Kyle (fan),"6,400"
42nd,1984,L.A.con II,"Anaheim, California",United States,Gordon R. Dickson (pro)Dick Eney (fan),"8,365"
43rd,1985,Aussiecon Two,"Melbourne, Victoria",Australia,Gene Wolfe (pro)Ted White (fan),"1,599"
