,Year,Name,City,Country,Guests of Honor,Size
64th,2006,L.A.con IV,"Anaheim, California",United States,Connie Willis (Author)James Gurney (Artist)Howard DeVore (fan)Frankie Thomas (Special),"5,738(6,291)"
65th,2007,Nippon 2007,Yokohama,Japan,Sakyo Komatsu (author)David Brin (author)Takumi Shibano (fan)Yoshitaka Amano (artist)Michael Whelan (artist),"3,348(5,149)"
66th,2008,Denvention 3,"Denver, Colorado",United States,Lois McMaster Bujold (pro)Tom Whitmore (fan)Rick Sternbach (artist),"3,752"
67th,2009,Anticipation,"Montréal, Québec",Canada,Neil Gaiman (pro)Elisabeth Vonarburg (pro)Taral Wayne (fan)David Hartwell (editor)Tom Doherty (publisher),"3,925(4,499)"
68th,2010,Aussiecon Four,"Melbourne, Victoria",Australia,Kim Stanley Robinson (author)Robin Johnson (fan)Shaun Tan (artist),"2,101(3,462)"
69th,2011,Renovation,"Reno, Nevada",United States,Tim PowersEllen AsherBoris VallejoCharles N. Brown (in memoriam),"4,112(5,526)"
70th,2012,Chicon 7,"Chicago, Illinois",United States,Mike Resnick (author)Rowena Morrill (artist)Story Musgrave (astronaut)Peggy Rae Sapienza (fan)Jane Frank (agent)Sy Liebergot (special guest)John Scalzi (toastmaster),"4,743(6,197)"
71st,2013,LoneStarCon 3,"San Antonio, Texas",United States,Ellen DatlowJames GunnWillie SirosNorman SpinradDarrell K. Sweet (in memoriam)Paul Cornell (toastmaster)Leslie FishJoe R. Lansdale,"4,311(6,060)"
72nd,2014,Loncon 3,London,UK,Iain M. Banks (in memoriam)John CluteChris FossMalcolm EdwardsJeanne GomollRobin HobbBryan Talbot,
73rd,2015,Sasquan,"Spokane, Washington",United States,Brad FosterDavid GerroldVonda McIntyreTom SmithLeslie Turek,
