,Year,Name,City,Country,Guests of Honor,Size
44th,1986,ConFederation,"Atlanta, Georgia",United States,Ray Bradbury (pro)Terry Carr (fan),"5,811"
45th,1987,Conspiracy '87,Brighton,UK,Doris Lessing (UK)Alfred Bester (US)Boris and Arkady Strugatsky (USSR)Jim Burns (artist)Ray Harryhausen (film)Joyce and Ken Slater (fan)David Langford (special fan),"4,009(5,425)"
46th,1988,Nolacon II,"New Orleans, Louisiana",United States,Donald A. Wollheim (pro)Roger Sims (fan),"5,300"
47th,1989,Noreascon 3,"Boston, Massachusetts",United States,Andre Norton (pro)Betty and Ian Ballantine (pro)The Stranger Club (fan),"6,837(7,795)"
48th,1990,ConFiction,The Hague,Netherlands,Harry Harrison (pro)Wolfgang Jeschke (pro)Joe Haldeman (pro)Andrew I. Porter (fan),"3,580"
49th,1991,Chicon V,"Chicago, Illinois",United States,Hal Clement (pro)Martin H. Greenberg (pro)Richard Powers (pro)Jon and Joni Stopa (fan),"5,661"
50th,1992,MagiCon,"Orlando, Florida",United States,Jack Vance (pro)Vincent Di Fate (artist)Walter A. Willis (fan),"5,319(6,368)"
51st,1993,ConFrancisco,"San Francisco, California",United States,Larry NivenAlicia AustinTom Digby (fan)Jan Howard FinderMark Twain (Dead GoH),"6,602"
52nd,1994,ConAdian,Winnipeg,Canada,Anne McCaffrey (pro)George Barr (artist)Robert Runte (fan),"3,570(7,725)"
53rd,1995,Intersection,"Glasgow, Scotland",UK,Samuel R. Delany (writer)Gerry Anderson (media)Les Edwards (artist)Vin¢ Clarke (fan),"4,173(6,524)"
