Title,Year,Director,Budget,Gross (worldwide),Notes,Filler_1,Extra_Data_2,Irrelevant_3
Get Carter,2000,Stephen Kay,$63.6 million,"$19,412,993",,TDPMG,285,xTSLhs9
The In Crowd,2000,Mary Lambert,$15 million,"$5,217,498",,JZNjudrs,44,Qrfk6HkL
The Pledge,2001,Sean Penn,$35 million,"$29,419,291",,ZISuR,107,PdCEP
3000 Miles to Graceland,2001,Demian Lichtenstein,$62 million,"$18,720,175",,wMopl,782,m63kCE
Angel Eyes,2001,Luis Mandoki,$53 million,"$29,715,606",,nlkLsT,188,lGNKWm
American Outlaws,2001,Les Mayfield,$35 million,"$13,342,790",,rLdMwf,644,b3l93yB
Heist,2001,David Mamet,$39 million,"$28,510,652",,zrudzkoq,880,GtjJZJhF
Juwanna Mann,2002,Jesse Vaughan,$15 million,"$13,802,599",,SepjxvAp,879,apBPyj
I'll Be There,2003,Craig Ferguson,N/A,N/A,,aVWWtVbZ,983,vIw9D
Exorcist: The Beginning,2004,Renny Harlin,$80 million,"$78,000,586",,aMiws,44,btKTn
