Title,Year,Director,Budget,Gross (worldwide),Notes,Dummy_Col_1
Young Guns,1988,Christopher Cain,$11 million,"$45,661,556",,rHDwsIj
Dead Ringers,1988,David Cronenberg,N/A,"$8,038,508",,ruODKGLy
Skin Deep,1989,Blake Edwards,N/A,"$19,674,852",,vAaoabw
Major League,1989,David S. Ward,$11 million,"$49,797,148",,wFwtkCws
Renegades,1989,Jack Sholder,N/A,"$9,015,164",,dgtQM
"Enemies, a Love Story",1989,Paul Mazursky,N/A,"$7,754,571",,CludN
Coupe de Ville,1990,Joe Roth,N/A,"$715,983",,vtHaHAn
The Exorcist III,1990,William Peter Blatty,$11 million,"$26,098,824",,dtQrdmhe
Nightbreed,1990,Clive Barker,$11 million,"$8,862,354",,wTgstLl
Young Guns II,1990,Geoff Murphy,N/A,"$44,143,410",,nkaOnnO
