Title,Year,Director,Budget,Gross (worldwide),Notes,Random_Column_1
Pacific Heights,1990,John Schlesinger,$18 million,"$44,926,706",,oLe9AFX
Robin Hood: Prince of Thieves,1991,Kevin Reynolds,$48 million,"$390,493,908",The score would become the music for Morgan Creek's animated logo.,8MQCyBX
Freejack,1992,Geoff Murphy,$30 million,"$17,129,000",,LEaRzmep
White Sands,1992,Roger Donaldson,$25 million,"$9,011,574",,MerSKb
Stay Tuned,1992,Peter Hyams,N/A,"$10,736,401",,DFH4ZN
The Last of the Mohicans,1992,Michael Mann,$40 million,"$75,505,856",,3sRs3Xn
The Crush,1993,Alan Shapiro,N/A,"$13,609,396",,wFWfeCr
True Romance,1993,Tony Scott,$13 million,"$12,281,551",,TK6hpMpC
Ace Ventura: Pet Detective,1994,Tom Shadyac,$12 million,"$107,217,396",,r7Tyy
Major League II,1994,David S. Ward,$25 million,"$30,626,182",,vBG1kw
