Title,Year,Director,Budget,Gross (worldwide),Notes
Dominion: Prequel to the Exorcist,2005,Paul Schrader,$30 million,"$251,495",
Two for the Money,2005,D. J. Caruso,$25 million,"$30,526,509",
Man of the Year,2006,Barry Levinson,$20 million,"$41,237,658",
The Good Shepherd,2006,Robert De Niro,$85 million,"$99,480,480",
Georgia Rule,2007,Garry Marshall,$20 million,"$25,992,167",
Sydney White,2007,Joe Nussbaum,N/A,"$13,620,075",
Ace Ventura Jr: Pet Detective,2009,David Mickey Evans,$7.5 million,N/A,
Dream House,2011,Jim Sheridan,$50 million,"$38,502,340",
The Thing,2011,Matthijs van Heijningen Jr.,$38 million,"$27,428,670",
Tupac,2014,Antoine Fuqua,$45 million,,
