Title,Year,Director,Budget,Gross (worldwide),Notes,Dummy_Col_1,Dummy_Col_2
Incognito,1998,John Badham,N/A,N/A,,GRlvVCMY,VajLN
Major League: Back to the Minors,1998,John Warren,$18 million,"$3,572,443",,gRHwlF,FyeIl
Wrongfully Accused,1998,Pat Proft,N/A,"$9,623,329",,pnRvRXSu,KgXmeE
Soldier,1998,Paul W.S. Anderson,$60 million,"$14,594,226",,lasnmUU,YvLldxsc
The King and I,1999,Richard Rich,$25 million,"$11,993,021",,iLnabY,xaNLoQ
Chill Factor,1999,Hugh Johnson,$70 million,"$11,263,966",,sYRBpc,ozPlC
Liberty Heights,1999,Barry Levinson,$11 million,"$3,736,868",,cXFNeCU,KwMewF
The Whole Nine Yards,2000,Jonathan Lynn,$41.3 million,"$106,371,651",,sfokIj,UnJWoxA
Battlefield Earth,2000,Roger Christian,$44 million,"$29,725,663",,gLfAXL,HVyYpNz
The Art of War,2000,Christian Duguay,$60 million,"$40,400,425",,oBzjRkt,jVbtCvVP
