Device,Type,IOPS,Interface,Notes
"DDRdrive X1,",SSD,"300,000+ (512B Random Read IOPS) and 200,000+ (512B Random Write IOPS)",PCIe,
SolidFire SF3010/SF6010,SSD,"250,000 4KB Read/Write IOPS",iSCSI,Flash Based Storage Array (5RU)
Texas Memory Systems RamSan-720 Appliance,SSD,"500,000 Optimal Read, 250,000 Optimal Write 4KB IOPS",FC / InfiniBand,
OCZ Single SuperScale Z-Drive R4 PCI-Express SSD,SSD,"Up to 500,000 IOPS",PCIe,
"WHIPTAIL, INVICTA",SSD,"650,000/550,000+ Read/Write IOPS","Fibre Channel, iSCSI, Infiniband/SRP, NFS",Flash Based Storage Array
Violin Memory Violin 6000,3RU Flash Memory Array,"1,000,000+ Random Read/Write IOPS",/FC/Infiniband/10Gb(iSCSI)/ PCIe,
Texas Memory Systems RamSan-630 Appliance,SSD,"1,000,000+ 4KB Random Read/Write IOPS",FC / InfiniBand,
Fusion-io ioDrive Octal (single PCI Express card),SSD,"1,180,000+ Random Read/Write IOPS",PCIe,
OCZ 2x SuperScale Z-Drive R4 PCI-Express SSD,SSD,"Up to 1,200,000 IOPS",PCIe,
Texas Memory Systems RamSan-70,SSD,"1,200,000 Random Read/Write IOPS",PCIe,Includes RAM cache
Kaminario K2,Flash/DRAM/Hybrid SSD,"Up to 1,200,000 IOPS SPC-1 IOPS with the K2-D (DRAM)",FC,
NetApp FAS6240 cluster,Flash/Disk,"1,261,145 SPECsfs2008 nfsv3 IOPs using disks with virtual storage tiering.","NFS, CIFS, FC, FCoE, iSCSI","SPECsfs2008 is the latest version of the Standard Performance Evaluation Corporation benchmark suite measuring file server throughput and response time, providing a standardized method for comparing performance across different vendor platforms. http://www.spec.org/sfs2008/"
Fusion-io ioDrive2,SSD,"Up to 9,608,000 IOPS",PCIe,
