Device,Type,IOPS,Interface,Notes,Irrelevant_1,Extra_Data_2,Extra_Data_3
Simple SLC SSD,SSD,~400 IOPS[citation needed],SATA 3 Gbit/s,,NP54EQy,967,453
Intel X25-M G2 (MLC),SSD,"~8,600 IOPS",SATA 3 Gbit/s,"Intel's data sheet claims 6,600/8,600 IOPS (80 GB/160 GB version) and 35,000 IOPS for random 4 KB writes and reads, respectively.",tGmjC,759,119
Intel X25-E (SLC),SSD,"~5,000 IOPS",SATA 3 Gbit/s,"Intel's data sheet claims 3,300 IOPS and 35,000 IOPS for writes and reads, respectively. 5,000 IOPS are measured for a mix. Intel X25-E G1 has around 3 times higher IOPS compared to the Intel X25-M G2.",nHRiG4Wq,38,752
G.Skill Phoenix Pro,SSD,"~20,000 IOPS",SATA 3 Gbit/s,"SandForce-1200 based SSD drives with enhanced firmware, states up to 50,000 IOPS, but benchmarking shows for this particular drive ~25,000 IOPS for random read and ~15,000 IOPS for random write.",4PCAhC9,56,840
OCZ Vertex 3,SSD,"Up to 60,000 IOPS",SATA 6 Gbit/s,Random Write 4 KB (Aligned),QisUqEW,163,356
Corsair Force Series GT,SSD,"Up to 85,000 IOPS",SATA 6 Gbit/s,"240 GB Drive, 555 MB/s sequential read & 525 MB/s sequential write, Random Write 4 KB Test (Aligned)",UTEyw,160,994
OCZ Vertex 4,SSD,"Up to 120,000 IOPS",SATA 6 Gbit/s,"256 GB Drive, 560 MB/s sequential read & 510 MB/s sequential write, Random Read 4 KB Test 90K IOPS, Random Write 4 KB Test 85K IOPS",7X3dGq26,13,575
Texas Memory Systems RamSan-20,SSD,"120,000+ Random Read/Write IOPS",PCIe,Includes RAM cache,wZsaU,837,133
Fusion-io ioDrive,SSD,"140,000 Read IOPS, 135,000 Write IOPS",PCIe,,ZAtQsh,325,829
Virident Systems tachIOn,SSD,"320,000 sustained READ IOPS using 4KB blocks and 200,000 sustained WRITE IOPS using 4KB blocks",PCIe,,Fcqae,409,916
OCZ RevoDrive 3 X2,SSD,"200,000 Random Write 4K IOPS",PCIe,,Qsq6oH,351,921
Fusion-io ioDrive Duo,SSD,"250,000+ IOPS",PCIe,,IwYSU,606,792
Violin Memory Violin 3200,SSD,"250,000+ Random Read/Write IOPS",PCIe /FC/Infiniband/iSCSI,Flash Memory Array,OgrZJJ,961,882
"WHIPTAIL, ACCELA",SSD,"250,000/200,000+ Write/Read IOPS","Fibre Channel, iSCSI, Infiniband/SRP, NFS, CIFS",Flash Based Storage Array,OIjpo,774,436
