School,Location,Control,Type,Enrollment,Founded,Filler_1
New Jersey Institute of Technology,"Newark, New Jersey",Private,RU/H,"9,558",1881,AWxYuMwd
New Mexico Institute of Mining and Technology,"Socorro, New Mexico",Public,Master's M,"1,921",1889,NSWsPyCo
Oregon Institute of Technology,"Klamath Falls, Oregon",Public,Bac/Diverse,"3,927",1947,zxlfhokv
Polytechnic Institute of New York University,"Brooklyn, New York",Private,RU/H,"4,514",1854,nfhtegi
Rensselaer Polytechnic Institute,"Troy, New York",Private,RU/VH,"7,521",1824,lKOSpvyb
Rochester Institute of Technology,"Henrietta, New York",Private,Master's L,"17,652",1829,oXqnhPVa
Rose–Hulman Institute of Technology,"Terre Haute, Indiana",Private,Spec/Engg,"1,970",1874,OhELd
South Dakota School of Mines and Technology,"Rapid City, South Dakota",Public,Spec/Engg,"2,354",1885,vXTPzago
Southern Polytechnic State University,"Marietta, Georgia",Public,Master's M,"6,202",1948,RNkqK
Stevens Institute of Technology,"Hoboken, New Jersey",Private,RU/H,"5,260",1870,CFGuI
Texas Tech University,"Lubbock, Texas",Public,RU/H,"32,327",1923,mSRqmHz
University of Wisconsin–Stout,"Menomonie, Wisconsin",Public,Master's L,"9,339",1891,htNeEk
Virginia Polytechnic Institute and State University,"Blacksburg, Virginia",Public,RU/VH,"30,739",1872,bGNdj
Worcester Polytechnic Institute,"Worcester, Massachusetts",Private,DRU,"5,071",1865,nrIPxN
