School,Location,Control,Type,Enrollment,Founded
Air Force Institute of Technology,"Wright-Patterson AFB, Ohio",Public,DRU,719,1919
California Institute of Technology,"Pasadena, California",Private,RU/VH,"2,231",1891
California Polytechnic State University,"San Luis Obispo, California",Public,Master's L,"18,762",1901
"California State Polytechnic University, Pomona","Pomona, California",Public,Master's L,"22,273",1938
Clarkson University,"Potsdam, NY",Private,RU/H,"3,187",1896
Colorado School of Mines,"Golden, Colorado",Public,RU/H,"4,296",1874
Colorado Technical University,"Colorado Springs, Colorado",Private,DRU,"30,020",1965
Florida Institute of Technology,"Melbourne, Florida",Private,DRU,"8,985",1958
Georgia Institute of Technology,"Atlanta, Georgia",Public,RU/VH,"20,487",1885
Illinois Institute of Technology,"Chicago, Illinois",Private,RU/H,"7,787",1890
Massachusetts Institute of Technology,"Cambridge, Massachusetts",Private,RU/VH,"10,894",1861
Michigan Technological University,"Houghton, Michigan",Public,RU/H,"6,957",1885
Missouri University of Science and Technology,"Rolla, Missouri",Public,RU/H,"7,521",1870
Montana Tech of the University of Montana,"Butte, Montana",Public,Bac/Diverse,"2,694",1900
