Region,Rnd,Host,Venue,City,State,Random_Column_1
East,1,Clemson University,Littlejohn Coliseum,Clemson,South Carolina,neJlQFj
East,1,Florida State University,Tully Gymnasium,Tallahassee,Florida,Xrv8SKwP
East,1,Old Dominion University,Old Dominion University Fieldhouse,Norfolk,Virginia,FqtkFX
East,1,University of Maryland,Cole Field House,College Park,Maryland,nvQGs
East,2,Providence College,Alumni Hall (Providence),Providence,Rhode Island,z6JkwpX
East,2,University of Connecticut,Harry A. Gampel Pavilion,Storrs,Connecticut,DrAq9iCG
East,2,University of Tennessee,Thompson-Boling Arena,Knoxville,Tennessee,0yDqWHp
East,2,University of Virginia,University Hall (University of Virginia),Charlottesville,Virginia,AB40GP
Mideast,1,DePaul University,Alumni Hall (DePaul University),Chicago,Illinois,JMRu0K
Mideast,1,University of South Carolina,Carolina Coliseum,Columbia,South Carolina,oVsnU3
Mideast,1,Tennessee Tech,Eblen Center,Cookeville,Tennessee,pjtZST
