Region,Rnd,Host,Venue,City,State
Mideast,1,Vanderbilt University,Memorial Gymnasium (Vanderbilt University),Nashville,Tennessee
Mideast,2,Auburn University,Memorial Coliseum (Beard–Eaves–Memorial Coliseum),Auburn,Alabama
Mideast,2,Northwestern University,Welsh-Ryan Arena,Evanston,Illinois
Mideast,2,University of Iowa,Carver–Hawkeye Arena,Iowa City,Indiana
Mideast,2,University of Washington,Hec Edmundson Pavilion,Seattle,Washington
Midwest,1,Northern Illinois University,Chick Evans Field House,DeKalb,Illinois
Midwest,1,Ohio State University,St. John Arena,Columbus,Ohio
Midwest,1,University of Southern Mississippi,Reed Green Coliseum,Hattiesburg,Mississippi
Midwest,1,Oklahoma State University,Gallagher-Iba Arena,Stillwater,Oklahoma
Midwest,2,Louisiana Tech University,Thomas Assembly Center,Ruston,Louisiana
Midwest,2,North Carolina State University,Reynolds Coliseum,Raleigh,North Carolina
