Party,Candidate(s),Votes,Percentage,Random_Column_1,Random_Column_2
UUP,Peter WeirAlan McFarlandRoy BradfordJohn ShieldsIrene Cree,"9,270",25.6,NtY2df3j,7erYiyhG
UK Unionist,Robert McCartneyValerie KinghanPatricia Watson,"7,579",20.9,MYHgaC,vdslQjp
DUP,St Clair McAlisterRuby CoolingCecil Noble,"6,699",18.5,urIJd8U,ZJcpOj
Alliance,Oliver NapierBrian WilsonEileen BellLarry ThompsonJane Copeland,"6,186",17.1,u39vGSYf,z56bY4
SDLP,Owen AdamsJohn Burke,"1,798",5.0,8jzx5tWQ,pSika06
PUP,Victor AshSamuel CurryNeil MehaffyKenneth Sterrit,"1,694",4.7,l3Meyqt,DqVUqvBi
Ulster Democratic,James McCulloughThomas Lindsay,651,1.8,kRopQhCD,NPObPI5
NI Women's Coalition,Emma McGuiganAnn Marie FosterJane Morrice,496,1.4,Dbb4Uv,QSjrD
Conservative,Ann ThompsonBruce Mulligan,444,1.2,0gt8j,lg8pBTy
Independent Chambers,Alan ChambersJames ArbuthnotRobert Irvine,334,0.9,hcDqiG3,rrxrvLHd
