Whitworth size (in),Core diameter (in),Threads per inch,Pitch (in),Tapping drill size,Dummy_Col_1,Dummy_Col_2
11/16,0.5711,11,0.0909,15 mm (0.5906 in),rAsPzY,rhkSCxGG
3/4,0.6219,10,0.1,16.27 mm (0.6406 in),ZkDxaKgk,UatNrq
13/16,0.6845,10,0.1,18 mm (0.7087 in),fdTZcQx,QcEbqaS
7/8,0.7327,9,0.1111,19.25 mm (0.7579 in),jrQsCXhu,vhcvhV
15/16,0.7953,9,0.1111,20.75 mm (0.8169 in),cPfyROr,MjCTm
1,0.8399,8,0.125,22 mm (0.8661 in),gTHue,yzsffHU
1 1/8,0.9420,7,0.1429,,QQAWqxDI,JPEKEejf
1 1/4,1.0670,7,0.1429,,BcClWv,Pukrq
1 1/2,1.2866,6,0.1667,,qytYw,CgRBEx
1 3/4,1.4939,5,0.2,,jaCmZN,ZfzeC
2,1.7154,4.5,0.2222,,fkHHbp,KWkfr
2 1/2,2.180,4,0.250,,QiZqtA,KYOao
