Pos,No,Rider,Manufacturer,Laps,Time,Grid,Points
1,58,Marco Simoncelli,Gilera,25,39:02.553,1,25
2,19,Álvaro Bautista,Aprilia,25,+0.223,3,20
3,36,Mika Kallio,KTM,25,+14.450,2,16
4,60,Julian Simon,KTM,25,+14.478,6,13
5,6,Alex Debon,Aprilia,25,+26.226,8,11
6,15,Roberto Locatelli,Gilera,25,+26.392,11,10
7,72,Yuki Takahashi,Honda,25,+26.434,7,9
8,41,Aleix Espargaro,Aprilia,25,+40.546,9,8
9,14,Ratthapark Wilairot,Honda,25,+1:00.219,12,7
10,32,Fabrizio Lai,Gilera,25,+1:20.825,13,6
11,17,Karel Abraham,Aprilia,25,+1:22.802,17,5
12,25,Alex Baldolini,Aprilia,25,+1:22.864,18,4
