Pos,No,Rider,Manufacturer,Laps,Time,Grid,Points,Random_Column_1,Random_Column_2,Unused_3
13,10,Imre Toth,Aprilia,25,+1:23.995,16,3,upuC58Y,A1eEO5uj,
14,52,Lukas Pesek,Aprilia,25,+1:39.740,14,2,SUtFHRw,2cFmp,
15,35,Simone Grotzkyj,Gilera,24,+1 Lap,21,1,yDuSJ,DS0Ay,
16,92,Daniel Arcas,Honda,24,+1 Lap,20,,Y6uIi30Q,8ZqTR,
17,45,Doni Tata Pradita,Yamaha,24,+1 Lap,22,,bWpDRGHD,uLZbd2,
Ret,4,Hiroshi Aoyama,KTM,15,Retirement,4,,8cy9kI7,nNpx8z,
Ret,75,Mattia Pasini,Aprilia,15,Accident,10,,iBQGHZ,Rzv1sJM,
Ret,55,Héctor Faubel,Aprilia,4,Accident,5,,mM3ZJfYa,8Ucf3K,
Ret,90,Federico Sandi,Aprilia,1,Accident,15,,ls1oeLn,h3zu9y6e,
Ret,43,Manuel Hernandez,Aprilia,1,Retirement,19,,L67paxv,2Z7c0U2,
DNQ,27,Stefano Bianco,Gilera,,,,,jMxhWgj,SNBS8,
DNQ,89,Ho Wan Chow,Aprilia,,,,,Nwa4rRAu,BX1ao87Z,
