Year,Player,High School,College,NBA/ABA draft,Filler_1,Dummy_Col_2
1952,Joe Sexson,Indianapolis Tech,Purdue,,qcTgu,HxAXPtq
1953,Hallie Bryant,Crispus Attucks,Indiana,,Ujwzk,nFQYlqq
1954,Bobby Plump,Milan,Butler,,sUshqR,AyjQFDtI
1955,Wilson Eison,Gary Roosevelt,Purdue,,tfJxTEy,mFeIyQH
1956,Oscar Robertson,Crispus Attucks,Cincinnati,"1960 NBA Draft: 1st Rnd, 1st overall by the Cincinnati Royals",WvDrvJK,ByJqXY
1957,John Coalman,South Bend Central,Fordham,,ORpAA,vbpCW
1958,Mike McCoy,Ft. Wayne South Side,Miami (FL),,WhbVOT,klEfLE
1959,Jimmy Rayl,Kokomo,Indiana,"1963 NBA Draft: 3rd Rnd, 22nd overall by the Cincinnati Royals",TLpNzsIq,AZAJQnat
1960,Ron Bonham,Muncie Central,Cincinnati,"1964 NBA Draft: 2nd Rnd, 18th overall by the Boston Celtics",OSevkhf,xLcDlOfp
1961 (tie),Tom Van Arsdale,Indianapolis Manual,Indiana,"1965 NBA Draft: 2nd Rnd, 11th overall by the Detroit Pistons",BArRz,yQXqe
1961 (tie),Dick Van Arsdale,Indianapolis Manual,Indiana,"1965 NBA Draft: 2nd Rnd, 10th overall by the New York Knicks",aCmnpkqC,CRhMPUU
