Year,Player,High School,College,NBA/ABA draft
2003,Justin Cage,Indianapolis Pike,Xavier,
2004,A.J. Ratliff,Indianapolis North Central,Indiana,
2005,Luke Zeller,Washington,Notre Dame,
2006,Greg Oden,Lawrence North,Ohio State,"2007 NBA Draft: 1st Rnd, 1st overall by the Portland Trail Blazers"
2007,Eric Gordon,Indianapolis North Central,Indiana,"2008 NBA Draft: 1st Rnd, 7th overall by the Los Angeles Clippers"
2008,Tyler Zeller,Washington,North Carolina,"2012 NBA Draft: 1st Rnd, 17th overall by the Dallas Mavericks"
2009,Jordan Hulls,Bloomington South,Indiana,
2010,Deshaun Thomas,Bishop Luers,Ohio State,"2013 NBA Draft: 2nd Rnd, 58th overall by the San Antonio Spurs"
2011,Cody Zeller,Washington,Indiana,"2013 NBA Draft: 1st Rnd, 4th overall by the Charlotte Bobcats"
2012,Gary Harris,Hamilton Southeastern,Michigan State,
2013,Zak Irvin,Hamilton Southeastern,Michigan,
