Year,Player,High School,College,NBA/ABA draft
1973,Kent Benson,New Castle,Indiana,"1977 NBA Draft: 1st Rnd, 1st overall by the Milwaukee Bucks"
1974 (tie),Steve Collier,Southwestern,Cincinnati,
1974 (tie),Roy Taylor,Anderson,Youngstown State,
1975,Kyle Macy,Peru,Purdue (1975–1976) / Kentucky (1976–1980),"1979 NBA Draft: 1st Rnd, 22nd overall by the Phoenix Suns"
1976,Dave Colescott,Marion,North Carolina,
1977,Ray Tolbert,Madison Heights,Indiana,"1981 NBA Draft: 1st Rnd, 18th overall by the New Jersey Nets"
1978,David Magley,South Bend LaSalle,Kansas,
1979,Steve Bouchie,Washington,Indiana,
1980,Jim Master,Ft. Wayne Harding,Kentucky,"1984 NBA Draft: 6th Rnd, 127th overall by the Atlanta Hawks"
1981,Dan Palombizio,Michigan City Rogers,Purdue (1981–1983) / Ball State (1984–1986),
1982,Roger Harden,Valparaiso,Kentucky,
