Year,Player,High School,College,NBA/ABA draft
1962,Larry Humes,Madison,Evansville,
1963,Rick Jones,Muncie Central,Miami (FL),
1964,Dennis Brady,Lafayette Jefferson,Purdue,
1965,Billy Keller,Indianapolis Washington,Purdue,"1969 NBA Draft: 7th Rnd, 2nd by the Milwaukee Bucks"
1966,Rick Mount,Lebanon,Purdue,"1970 ABA Draft: 1st Rnd by the Indiana Pacers1970 NBA Draft: 8th Rnd, 132nd overall by the Los Angeles Lakers"
1967,Willie Long,Ft. Wayne South Side,New Mexico,"1971 NBA Draft: 2nd Rnd, 35th overall by the Cleveland Cavaliers"
1968,Billy Shepherd,Carmel,Butler,
1969,George McGinnis,Indianapolis Washington,Indiana (1969–1971),1971 ABA Draft: Indiana Pacers
1970,Dave Shepherd,Carmel,Indiana (1970–1972) / Mississippi (1973–1975),
1971,Mike Flynn,Jeffersonville,Kentucky,"1975 NBA Draft: 7th Rnd, 113th overall by the Philadelphia 76ers"
1972,Phil Cox,Connersville,Butler (1972-74) / Gardner–Webb (1974-1976),
