Year,Player,High School,College,NBA/ABA draft
1983,Steve Alford,New Castle,Indiana,"1987 NBA Draft: 2nd Rnd, 26th overall by the Dallas Mavericks"
1984 (tie),Troy Lewis,Anderson,Purdue,
1984 (tie),Delray Brooks,Michigan City Rogers,Indiana (1984–1985) / Providence (1986–1988),
1985,Jeff Grose,Warsaw,Northwestern,
1986,Mark Jewell,Lafayette Jefferson,Evansville,
1987 (tie),Jay Edwards,Marion,Indiana,"1989 NBA Draft: 2nd Rnd, 33rd overall by the Los Angeles Clippers"
1987 (tie),Lyndon Jones,Marion,Indiana,
1988,Woody Austin,Richmond,Purdue,
1989,Pat Graham,Floyd Central,Indiana,
1990,Damon Bailey,Bedford North Lawrence,Indiana,"1994 NBA Draft: 2nd Rnd, 44th overall by the Indiana Pacers"
1991,Glenn Robinson,Gary Roosevelt,Purdue,"1994 NBA Draft 1st Rnd, 1st overall by the Milwaukee Bucks"
