Month,Year,Player,County,Club,Position,Random_Column_1
September,2011,Tommy Walsh,Kilkenny,Tullaroan,5,wv3WT
May,2012,Willie Hyland,Laois,Clough-Ballacolla,7,kSgAK5w
June,2012,Patrick Maher,Tipperary,Lorrha-Dorrha,11,DcrSr
July,2012,Kevin Moran,Waterford,De La Salle,7,fy9dZk
August,2012,Joe Canning,Galway,Portumna,13,EQF1KeW
September,2012,Henry Shefflin,Kilkenny,Ballyhale Shamrocks,15,fobAZN
May,2013,Cahir Healy,Laois,Portlaoise,8,ZgUgyQiB
June,2013,Richie McCarthy,Limerick,Blackrock,3,E7721m
July,2013,Paul Ryan,Dublin,Ballyboden St. Enda's,14,Nasc7lmm
August,2013,Tony Kelly,Clare,Ballyea,11,3yzGMJb3
September,2013,Shane O'Donnell,Clare,Éire Óg,14,mrg86Y
