Month,Year,Player,County,Club,Position,Filler_1
September,2007,Eddie Brennan,Kilkenny,Graigue-Ballycallan,13,YLLFSC
April,2008,Shane McGrath,Tipperary,Ballinahinch,9,PwAur
May,2008,David O'Callaghan,Dublin,St. Mark's,13,PjIspd
June,2008,Brian O'Connell,Clare,Wolfe Tones,8,cRAuVfv
July,2008,Joe Canning,Galway,Portumna,14,ENVGREh
August,2008,Derek Lyng,Kilkenny,Emeralds,9,tHeRo
September,2008,Eoin Larkin,Kilkenny,James Stephens,12,sKLXi
April,2009,Alan McCrabbe,Dublin,Craobh Chiaráin,15,MQLsk
May,2009,Eoin Cadogan,Cork,Douglas,3,kNEWAYh
June,2009,John Mullane,Waterford,De La Salle,13,SrTvXqz
July,2009,John Mullane,Waterford,De La Salle,13,oDtluRTc
