Church name,Address,Community,School,Filler_1,Irrelevant_2
Blessed Sacrament,6657 W. Sunset Blvd.34°05′53″N 118°20′06″W﻿ / ﻿34.09806°N 118.33500°W,Los Angeles (Hollywood),K-8[33],IQHLAAE,NW3k3CF
St. Vibiana[34],923 South La Brea Ave.34°03′28″N 118°20′45″W﻿ / ﻿34.05778°N 118.34583°W,Los Angeles (Mid-City),No,cCbQycTo,JbYfbg9l
Christ the King[35],624 North Rossmore Ave.34°04′56″N 118°19′35″W﻿ / ﻿34.08222°N 118.32639°W,Los Angeles (Hollywood),K-8[36],sWkueJL,GVSn60w
Holy Spirit[37],1425 S. Dunsmuir Ave.34°02′51″N 118°21′15″W﻿ / ﻿34.04750°N 118.35417°W,Los Angeles (Mid-City),,qIcClF,rJkDEvE
Immaculate Heart of Mary[38],4954 Santa Monica Blvd.34°05′25″N 118°17′51″W﻿ / ﻿34.09028°N 118.29750°W,Los Angeles (East Hollywood),K-8[39]9-12[40],bIDYa,E3EMKCT0
Nativity of the Blessed Virgin Mary (Ukrainian-Byzantine)[41],5154 De Longpre Ave.34°05′47″N 118°18′08″W﻿ / ﻿34.09639°N 118.30222°W,Los Angeles (East Hollywood),No,TyMgrmr,lcw2cG
Our Lady of Loretto,250 N. Union Ave.34°04′00″N 118°15′52″W﻿ / ﻿34.06667°N 118.26444°W,Los Angeles (Echo Park),K-8[42],zhiTPwL,601gbU
Our Mother of Good Counsel[43],2060 N. Vermont Ave.34°06′34″N 118°17′29″W﻿ / ﻿34.10944°N 118.29139°W,Los Angeles (Los Feliz),K-8[44],pthdJOb,M2i5EN
Precious Blood,435 S. Occidental Blvd.34°03′54″N 118°17′02″W﻿ / ﻿34.06500°N 118.28389°W,Los Angeles (Westlake),K-8[45],iPhbhaW,n4clwg7P
San Conrado Mission[46],1820 Bouett St.34°04′39″N 118°14′06″W﻿ / ﻿34.07750°N 118.23500°W,Los Angeles (Elysian Park),No,ZoHmIIs,pN8NHl9
St. Basil,3611 Wilshire Blvd.34°03′42″N 118°18′11″W﻿ / ﻿34.06167°N 118.30306°W,Los Angeles (Miracle Mile),No,yYJvU,DZdjb85
