Church name,Address,Community,School
St. Brendan,310 S. Van Ness Ave.34°04′07″N 118°18′53″W﻿ / ﻿34.06861°N 118.31472°W,Los Angeles (Koreatown),K-8[47]
St. Bridget (Chinese)[48],510 Cottage Home St.34°04′08″N 118°14′08″W﻿ / ﻿34.06889°N 118.23556°W,Los Angeles (Chinatown),No
St. Casimir,2718 Saint George St.34°06′30″N 118°16′29″W﻿ / ﻿34.10833°N 118.27472°W,Los Angeles (Los Feliz),No
St. Columban,125 Loma Dr.34°03′45″N 118°15′49″W﻿ / ﻿34.06250°N 118.26361°W,Los Angeles (Filipinotown),No
St. Francis of Assisi[49],1523 Golden Gate Ave.34°05′23″N 118°16′33″W﻿ / ﻿34.08972°N 118.27583°W,Los Angeles (Silverlake),K-8[50]
St. Gregory Nazianzen[51],900 S. Bronson Ave.34°03′21″N 118°19′15″W﻿ / ﻿34.05583°N 118.32083°W,Los Angeles (Koreatown),1-8[52]
St. Kevin[53],4072 Beverly Blvd.34°04′34″N 118°17′53″W﻿ / ﻿34.07611°N 118.29806°W,Los Angeles (South Hollywood),No
St. Mary Magdalen[54],1241 Corning St.34°03′16″N 118°22′39″W﻿ / ﻿34.05444°N 118.37750°W,Los Angeles (South Robertson),1-8[55]
St. Peter (Italian)[56],1039 N. Broadway34°04′04″N 118°14′06″W﻿ / ﻿34.06778°N 118.23500°W,Los Angeles (Solano Canyon),No
St. Teresa of Avila[57],2215 Fargo St.34°05′31″N 118°15′32″W﻿ / ﻿34.09194°N 118.25889°W,Los Angeles (Silverlake),K-8[58]
