Type,Gauge,Railway,Works no.,Year,Builder
4-8-2+2-8-4,1000 mm,East African Railways,7700-7706,1955,"Beyer, Peacock"
4-8-2+2-8-4,1000 mm,East African Railways,7721-7725,1954,"Beyer, Peacock"
4-8-2+2-8-4,1000 mm,Kenya Uganda Railway,24070-24079,1931,NBL
4-8-2+2-8-4,1000 mm,Kenya Uganda Railway,6300-6303,1926,"Beyer, Peacock"
4-8-2+2-8-4,1000 mm,Kenya Uganda Railway,6429-6440,1928,"Beyer, Peacock"
4-8-2+2-8-4,1000 mm,Kenya Uganda Railway,6516-6523,1928,"Beyer, Peacock"
4-8-2+2-8-4,1000 mm,Kenya Uganda Railway,6637-6638,1930,"Beyer, Peacock"
4-8-2+2-8-4,1000 mm,Kenya Uganda Railway,7280-7285,1949,"Beyer, Peacock"
4-8-2+2-8-4,1000 mm,"Rede Ferrovaria do Noroeste, Brazil",25257-25262,1952,Henschel
4-8-2+2-8-4,1000 mm,Tanganyika Railway,6718-6720,1931,"Beyer, Peacock"
4-8-2+2-8-4,1000 mm,"War Dept., Burma",7140-7159,1945,"Beyer, Peacock"
4-8-2+2-8-4,1000 mm,"War Dept., Kenya Uganda Railway",7075-7081,1943,"Beyer, Peacock"
4-8-2+2-8-4,1050 mm,"PLM, Algeria",2673-2676,1931,"Franco-Belge, France"
4-8-2+2-8-4,3 ft 6 in,Angola: Benguela Railway (CFB),6333-6338,1927,"Beyer, Peacock"
4-8-2+2-8-4,3 ft 6 in,Angola: Benguela Railway (CFB),6602-6615,1930,"Beyer, Peacock"
4-8-2+2-8-4,3 ft 6 in,Angola: Benguela Railway (CFB),7366-7375,1951,"Beyer, Peacock"
4-8-2+2-8-4,3 ft 6 in,Angola: Benguela Railway (CFB),7376-7377,1952,"Beyer, Peacock"
4-8-2+2-8-4,3 ft 6 in,Angola: Benguela Railway (CFB),7593-7598,1952,"Beyer, Peacock"
4-8-2+2-8-4,3 ft 6 in,Angola: Benguela Railway (CFB),7667-7676,1955-56,"Beyer, Peacock"
4-8-2+2-8-4,3 ft 6 in,Angola: Luanda Railway,2493-2498,1954,Krupp
4-8-2+2-8-4,3 ft 6 in,Angola: Moçamedes Railway (CFM ),27000-27005,1953,Henschel
4-8-2+2-8-4,3 ft 6 in,Australian Portland Cement,CLTB 33,1945,"Australian Standard, Newport"
4-8-2+2-8-4,3 ft 6 in,C.F. du Bas Congo a Katanga,2097-2108,1953,Du Haine Saint-Pierre
4-8-2+2-8-4,3 ft 6 in,C.F.Moçambique,2059-2070,1952,Du Haine Saint-Pierre
4-8-2+2-8-4,3 ft 6 in,C.F.Moçambique,28642-28646,1956,Henschel
