Type,Gauge,Railway,Works no.,Year,Builder
4-8-2+2-8-4,3 ft 6 in,"Emu Bay Railway, Tasmania",6580-6582,1929,"Beyer, Peacock"
4-8-2+2-8-4,3 ft 6 in,Nigerian Railways,6635-6636,1930,"Beyer, Peacock"
4-8-2+2-8-4,3 ft 6 in,Queensland Government Railways,2905-2924,1951,"Franco-Belge, France"
4-8-2+2-8-4,3 ft 6 in,Queensland Government Railways,7341-7350,1951,"Beyer, Peacock"
4-8-2+2-8-4,3 ft 6 in,Queensland Government Railways,CLTB 1-5,1943-44,"Australian Standard, Newport"
4-8-2+2-8-4,3 ft 6 in,Queensland Government Railways,CLTB 11-19,1943-44,"Australian Standard, Islington"
4-8-2+2-8-4,3 ft 6 in,Queensland Government Railways,CLTB 21-25,1944,"Australian Standard, Clyde"
4-8-2+2-8-4,3 ft 6 in,Queensland Government Railways,CLTB 51-53,1944,"Australian Standard, Clyde"
4-8-2+2-8-4,3 ft 6 in,Queensland Government Railways,CLTB 9,1944,"Australian Standard, Newport"
4-8-2+2-8-4,3 ft 6 in,Rhodesia Railways,7685-7699,1954-55,"Beyer, Peacock"
4-8-2+2-8-4,3 ft 6 in,Rhodesia Railways,7780-7785,1957,"Beyer, Peacock"
4-8-2+2-8-4,3 ft 6 in,Rhodesia Railways,7786-7825,1957-58,"Beyer, Peacock"
4-8-2+2-8-4,3 ft 6 in,South African Railways,27691-27702,1956,NBL
4-8-2+2-8-4,3 ft 6 in,South African Railways,27769-27778,1958,NBL
4-8-2+2-8-4,3 ft 6 in,South African Railways,27783-27792,1958,NBL
4-8-2+2-8-4,3 ft 6 in,South African Railways,28680-28704,1952,Henschel
4-8-2+2-8-4,3 ft 6 in,South African Railways,28705-28729,1954,Henschel
4-8-2+2-8-4,3 ft 6 in,South African Railways,29600-29629,1954,Henschel
4-8-2+2-8-4,3 ft 6 in,South African Railways,6530-6531,1930,"Beyer, Peacock"
4-8-2+2-8-4,3 ft 6 in,South African Railways,6639-6644,1930,"Beyer, Peacock"
4-8-2+2-8-4,3 ft 6 in,South African Railways,6883-6898,1938,"Beyer, Peacock"
4-8-2+2-8-4,3 ft 6 in,South African Railways,7168-7217,1945-47,"Beyer, Peacock"
4-8-2+2-8-4,3 ft 6 in,South African Railways,7550-7552,1956,"Beyer, Peacock"
4-8-2+2-8-4,3 ft 6 in,South African Railways,7677-7681,1956,"Beyer, Peacock"
4-8-2+2-8-4,3 ft 6 in,South African Railways,7750-7764,1956,"Beyer, Peacock"
