Type,Gauge,Railway,Works no.,Year,Builder,Irrelevant_1,Irrelevant_2
2-8-2+2-8-2,4 ft 8½ in,"Nitrate Railways, Chile",6481-6483,1928,"Beyer, Peacock",nOmIz9,4lUeom
2-8-2+2-8-2,5 ft 6 in,"Central of Aragon, Spain",402-407,1931,"Babcock & Wilcox, Spain",LlQMB2rU,lZqlfnY
2-8-2+2-8-2,5 ft 6 in,"RENFE, Spain",730-739,1960,"Babcock & Wilcox, Spain",a5BTb,xKk22h1H
4-4-2+2-4-4,3 ft 6 in,Tasmanian Government Railways,5523-5524,1912,"Beyer, Peacock",fx7MiX,IyN2EFa
4-4-2+2-4-4,4 ft 8½ in,Argentine North Eastern (FCNEA),6645-6647,1930,"Beyer, Peacock",DqlgvMVy,UnuFHtQi
4-4-2+2-4-4,4 ft 8½ in,"Entre Rios Railway (FCER), Argentina",6360-6364,1927,"Beyer, Peacock",Pt5QD,xUW8a9xL
4-6-0+0-6-4,3 ft,Ferrocarril Pacifico de Colombia,565-566,1924,Armstrong Whitworth,VvFvD063,I22oI
4-6-0+0-6-4,1000 mm,"Mogyana Railway, Brazil",5529-5530,1912,"Beyer, Peacock",LjJVq,ZfseLz
4-6-2+2-6-4,3 ft,"Ferrocarril Dorada, Colombia",6843-6844,1938,"Beyer, Peacock",FwmwWSDT,yPoCb
4-6-2+2-6-4,1000 mm,"Leopoldina Railway, Brazil",6572-6573,1929,"Beyer, Peacock",5Qjev7c,SU9K9a4
4-6-2+2-6-4,1000 mm,"Leopoldina Railway, Brazil",6845-6850,1937,"Beyer, Peacock",binl0ju,2C754g
4-6-2+2-6-4,1000 mm,"Leopoldina Railway, Brazil",7026-7033,1943,"Beyer, Peacock",LZNVZ,ELB5F8
4-6-2+2-6-4,1000 mm,"Midland of Buenos Aires, Argentina",6570-6571,1929,"Beyer, Peacock",YVpKHV8u,JGPtj4
4-6-2+2-6-4,1000 mm,"Vicoa Ferrea do Rio Grande do Sul, Brazil",22047-22056,1931,Henschel,x2GTcYn,kpMd4k
4-6-2+2-6-4,3 ft 6 in,New Zealand Government Railways,6484-6486,1928,"Beyer, Peacock",nbeST,zs3jW
4-6-2+2-6-4,3 ft 6 in,Nigerian Railways,6781-6784,1935,"Beyer, Peacock",IItFdVyJ,IHNRpn
4-6-2+2-6-4,3 ft 6 in,Nigerian Railways,6796-6797,1936,"Beyer, Peacock",NHRFvm,VyQQuAJ
4-6-2+2-6-4,3 ft 6 in,Nigerian Railways,6861-6866,1937,"Beyer, Peacock",rx9n2Yuy,PWvDG
4-6-2+2-6-4,3 ft 6 in,Nigerian Railways,6927-6930,1939,"Beyer, Peacock",fYErpo1,E5765bb5
4-6-2+2-6-4,3 ft 6 in,Nigerian Railways,7051-7056,1943,"Beyer, Peacock",bT03GS,pP3mj
4-6-2+2-6-4,3 ft 6 in,South African Railways,10512-10548,1927,Hanomag,hDZvtv6B,M4x0mk
4-6-2+2-6-4,3 ft 6 in,South African Railways,21053-21070,1928,Henschel,5Nk2fo8K,wO84zG
4-6-2+2-6-4,3 ft 6 in,South African Railways,5748-5757,1928,Maffei,8imF4,3Z3XD8
4-6-2+2-6-4,4 ft 8½ in,C.F.Algeria,2697-2708,1936,"Franco-Belge, France",OY6FLdYB,PuOj19
4-6-2+2-6-4,4 ft 8½ in,C.F.Algeria,2711-2714,1937,"Franco-Belge, France",qOOHU,syZNwmb
