Type,Gauge,Railway,Works no.,Year,Builder
0-4-0+0-4-0,500 mm,"Southern Fuegian Railway, Argentina",,1994,Argentina
0-4-0+0-4-0,500 mm,"Southern Fuegian Railway, Argentina",,2006,"Girdlestone Rail, South Africa"
0-4-0+0-4-0,600 mm,"C.F.Vicinaux du Mayumbe, Zaïre",2096,1927,"St. Leonard, Belgium"
0-4-0+0-4-0,600 mm,"C.F.Vicinaux du Mayumbe, Zaïre",1708-1709,1911,"St. Leonard, Belgium"
0-4-0+0-4-0,600 mm,"C.F.Vicinaux du Mayumbe, Zaïre",1715-1716,1911,"St. Leonard, Belgium"
0-4-0+0-4-0,600 mm,"C.F.Vicinaux du Mayumbe, Zaïre",1899-1900,1919,"St. Leonard, Belgium"
0-4-0+0-4-0,600 mm,"C.F.Vicinaux du Mayumbe, Zaïre",1953-1956,1921,"St. Leonard, Belgium"
0-4-0+0-4-0,600 mm,"C.F.Vicinaux du Mayumbe, Zaïre",2021-2025,1924,"St. Leonard, Belgium"
0-4-0+0-4-0,600 mm,"C.F.Vicinaux du Mayumbe, Zaïre",2056-2059,1926,"St. Leonard, Belgium"
0-4-0+0-4-0,2 ft,"Darjeeling Himalayan, India",5407,1910,"Beyer, Peacock"
0-4-0+0-4-0,2 ft,Tasmanian Government Railways,5292-5293,1909,"Beyer, Peacock"
0-4-0+0-4-0,750 mm,"Mines du Zaccar, Algeria",1752,1936,Du Haine Saint-Pierre
0-4-0+0-4-0,750 mm,"Mines du Zaccar, Algeria",1781,1912,"St. Leonard, Belgium"
0-4-0+0-4-0,750 mm,"Mines du Zaccar, Algeria",1783,1937,Du Haine Saint-Pierre
0-4-0+0-4-0,1000 mm,"Piracicaba Sugar Co., Brazil",2108,1927,"St. Leonard, Belgium"
0-4-0+0-4-0,1000 mm,"Porto Feliz Sugar Co., Brazil",2091,1927,"St. Leonard, Belgium"
0-4-0+0-4-0,4 ft 8½ in,"Baddesley Colliery, Atherstone",6841,1937,"Beyer, Peacock"
0-4-0+0-4-0,4 ft 8½ in,"Guest, Keen & Baldwins",6779,1934,"Beyer, Peacock"
0-4-0+0-4-0,4 ft 8½ in,"Sneyd Colliery, Burslem",6729,1931,"Beyer, Peacock"
0-4-0+0-4-0,4 ft 8½ in,Vivian & Sons (British Copper/ICI),6172,1924,"Beyer, Peacock"
0-6-0+0-6-0,750 mm,C.F. du Congo,1744,1913,"St. Leonard, Belgium"
0-6-0+0-6-0,750 mm,C.F. du Congo,1901-1912,1920-21,"St. Leonard, Belgium"
0-6-0+0-6-0,750 mm,C.F. du Congo,2001-2009,1924-25,"St. Leonard, Belgium"
0-6-0+0-6-0,750 mm,C.F. du Congo,2040-2049,1925-26,"St. Leonard, Belgium"
0-6-0+0-6-0,2 ft 6 in,"Buthidaung-Maungdaw Tramway, Burma",5702-5703,1913,"Beyer, Peacock"
0-6-0+0-6-0,1000 mm,"SNCV, Belgium",2121,1929,"St. Leonard, Belgium"
