Type,Gauge,Railway,Works no.,Year,Builder
2-6-2+2-6-2,2 ft,South African Railways,10549-10551,1927,Hanomag
2-6-2+2-6-2,2 ft,South African Railways,10598-10599,1928,Hanomag
2-6-2+2-6-2,2 ft,South African Railways,10629-10635,1928,Hanomag
2-6-2+2-6-2,2 ft,South African Railways,2506-2507,1927,"Franco-Belge, Belgium"
2-6-2+2-6-2,2 ft,South African Railways,3265-3268,1936,John Cockerill
2-6-2+2-6-2,2 ft,South African Railways,3894-3901,1967-68,Hunslet-Taylor
2-6-2+2-6-2,2 ft,South African Railways,6919-6926,1939,"Beyer, Peacock"
2-6-2+2-6-2,2 ft,South African Railways,7426-7432,1951,"Beyer, Peacock"
2-6-2+2-6-2,2 ft 6 in,Nepal Government Railway,6736,1932,"Beyer, Peacock"
2-6-2+2-6-2,2 ft 6 in,Nepal Government Railway,7243,1947,"Beyer, Peacock"
2-6-2+2-6-2,2 ft 6 in,Sierra Leone Government Railway,6297-6299,1926,"Beyer, Peacock"
2-6-2+2-6-2,2 ft 6 in,Sierra Leone Government Railway,6497-6498,1928,"Beyer, Peacock"
2-6-2+2-6-2,2 ft 6 in,Sierra Leone Government Railway,6578-6579,1929,"Beyer, Peacock"
2-6-2+2-6-2,2 ft 6 in,Sierra Leone Government Railway,7045-7048,1942,"Beyer, Peacock"
2-6-2+2-6-2,2 ft 6 in,Sierra Leone Government Railway,7049-7050,1943,"Beyer, Peacock"
2-6-2+2-6-2,1000 mm,"Assam-Bengal Railway, India",6385-6389,1927,"Beyer, Peacock"
2-6-2+2-6-2,1000 mm,"C.G. de F. Catalanes, Spain",1960-1963,1922,"St. Leonard, Belgium"
2-6-2+2-6-2,1000 mm,"C.G. de F. Catalanes, Spain",2035-2038,1925,"St. Leonard, Belgium"
2-6-2+2-6-2,1000 mm,Great Western of Brazil,1024-1025,1929,Armstrong Whitworth
2-6-2+2-6-2,1000 mm,"La Robla Railway, Spain",10646-10647,1929,Hanomag
2-6-2+2-6-2,1000 mm,"La Robla Railway, Spain",421-422,1931,"Babcock & Wilcox, Spain"
2-6-2+2-6-2,1000 mm,"Minera de Sierra Minera, Spain",189-190,1930,"Euskalduna, Spain"
2-6-2+2-6-2,1000 mm,"Transandine Railway, Argentina",6543-6546,1930,"Beyer, Peacock"
2-6-2+2-6-2,3 ft 6 in,"Consolidated Main Reef Mine, South Africa",6780,1935,"Beyer, Peacock"
2-6-2+2-6-2,3 ft 6 in,"Dundee Coal & Coke Ltd, South Africa",6353,1927,"Beyer, Peacock"
2-6-2+2-6-2,3 ft 6 in,"Guayaquil & Quito Railway, Ecuador",6527-6529,1929,"Beyer, Peacock"
