Type,Gauge,Railway,Works no.,Year,Builder
4-6-2+2-6-4,4 ft 8½ in,C.F.Algeria,2725-2730,1939,"Franco-Belge, France"
4-6-2+2-6-4,4 ft 8½ in,C.F.Algeria,2741-2747,1940,"Franco-Belge, France"
4-6-2+2-6-4,4 ft 8½ in,"PLM, Algeria",2678,1932,"Franco-Belge, France"
4-6-2+2-6-4,5 ft 6 in,"Central of Aragon, Spain",191-196,1931,"Euskalduna, Spain"
4-6-4+4-6-4,3 ft 6 in,Rhodesia Railways,2963-2972,1952,"Franco-Belge, France"
4-6-4+4-6-4,3 ft 6 in,Rhodesia Railways,7260-7279,1947,"Beyer, Peacock"
4-6-4+4-6-4,3 ft 6 in,Rhodesia Railways,7326-7340,1949,"Beyer, Peacock"
4-6-4+4-6-4,3 ft 6 in,Rhodesia Railways,7351-7365,1952,"Beyer, Peacock"
4-6-4+4-6-4,3 ft 6 in,Sudan Railways,6798-6801,1936,"Beyer, Peacock"
4-6-4+4-6-4,3 ft 6 in,Sudan Railways,6870-6875,1937,"Beyer, Peacock"
4-8-0+0-8-4,5 ft 6 in,"Bengal Nagpur Railway, India",6583-6598,1929,"Beyer, Peacock"
4-8-0+0-8-4,5 ft 6 in,"Bengal Nagpur Railway, India",6705-6714,1931,"Beyer, Peacock"
4-8-2+2-8-4,2 ft 6 in,Sierra Leone Government,7707-7720,1955-56,"Beyer, Peacock"
4-8-2+2-8-4,1000 mm,Angola: Luanda Railway,7308-7313,1949,"Beyer, Peacock"
4-8-2+2-8-4,1000 mm,Antofagasta (Chili) & Bolivia Railway,6524-6526,1929,"Beyer, Peacock"
4-8-2+2-8-4,1000 mm,Antofagasta (Chili) & Bolivia Railway,7420-7425,1950,"Beyer, Peacock"
4-8-2+2-8-4,1000 mm,Burma Railways,7286-7289,1949,"Beyer, Peacock"
4-8-2+2-8-4,1000 mm,CF d'Afrique Occidentale Française,2715-2724,1938,"Franco-Belge, France"
4-8-2+2-8-4,1000 mm,CF d'Afrique Occidentale Française,2731-2740,1939,"Franco-Belge, France"
4-8-2+2-8-4,1000 mm,CF d'Afrique Occidentale Française,2748-2754,1941,"Franco-Belge, France"
4-8-2+2-8-4,1000 mm,"Cordoba Central Railway, Argentina",6550-6559,1929,"Beyer, Peacock"
4-8-2+2-8-4,1000 mm,East African Railways,2983-2994,1954,"Franco-Belge, France"
4-8-2+2-8-4,1000 mm,East African Railways,7577-7580,1954,"Beyer, Peacock"
4-8-2+2-8-4,1000 mm,East African Railways,7632-7658,1955,"Beyer, Peacock"
4-8-2+2-8-4,1000 mm,East African Railways,7659-7666,1954,"Beyer, Peacock"
