Type,Gauge,Railway,Works no.,Year,Builder
0-6-0+0-6-0,1000 mm,"SNCV, Belgium",2140,1930,"St. Leonard, Belgium"
0-6-0+0-6-0,4 ft 8½ in,"Limburg Tramway, Holland",22063,1931,Hanomag & Henschel
2-4-0+0-4-2,2 ft 6 in,Ceylon Government Railway,6629,1929,"Beyer, Peacock"
2-4-0+0-4-2,1000 mm,"São Paulo Railway, Brazil",,1919,São Paulo Railway
2-4-0+0-4-2,5 ft 3 in,"São Paulo Railway, Brazil",5892-5894,1915,"Beyer, Peacock"
2-4-2+2-4-2,1000 mm,"Leopoldina Railway, Brazil",6976-6979,1943,"Beyer, Peacock"
2-6-0+0-6-2,10¼ in,Wells and Walsingham Light Railway,,1986,Neil Simkins
2-6-0+0-6-2,10¼ in,Wells and Walsingham Light Railway,,2010,Wells and Walsingham Light Railway
2-6-0+0-6-2,2 ft,South African Railways,5975-5977,1919,"Beyer, Peacock"
2-6-0+0-6-2,2 ft,South African Railways,6199-6200,1925,"Beyer, Peacock"
2-6-0+0-6-2,2 ft 6 in,"Victorian Government Railways, Australia",6267-6268,1926,"Beyer, Peacock"
2-6-0+0-6-2,1000 mm,C.F.Madagascar,2031-2032,1926,"St. Leonard, Belgium"
2-6-0+0-6-2,1000 mm,"São Paulo Railway, Brazil",5664,1912,"Beyer, Peacock"
2-6-0+0-6-2,1000 mm,"São Paulo Railway, Brazil",6795,1936,"Beyer, Peacock"
2-6-0+0-6-2,3 ft 6 in,Australian Portland Cement,6794,1936,"Beyer, Peacock"
2-6-0+0-6-2,3 ft 6 in,Australian Portland Cement,6935,1939,"Beyer, Peacock"
2-6-0+0-6-2,3 ft 6 in,South African Railways,5941,1920,"Beyer, Peacock"
2-6-0+0-6-2,3 ft 6 in,Western Australian Government Railways,46-55,1930,Western Australian Government R'ys
2-6-0+0-6-2,3 ft 6 in,Western Australian Government Railways,5477-5482,1911,"Beyer, Peacock"
2-6-0+0-6-2,3 ft 6 in,Western Australian Government Railways,5665-5671,1912,"Beyer, Peacock"
2-6-0+0-6-2,4 ft 8½ in,Argentine North Eastern (FCNEA),6238-6240,1925,"Beyer, Peacock"
2-6-0+0-6-2,4 ft 8½ in,Argentine North Eastern (FCNEA),6349-6352,1927,"Beyer, Peacock"
2-6-0+0-6-2,4 ft 8½ in,East African Railways,6355-6359,1927,"Beyer, Peacock"
2-6-0+0-6-2,4 ft 8½ in,London Midland & Scottish Railway,6325-6327,1927,"Beyer, Peacock"
2-6-0+0-6-2,4 ft 8½ in,London Midland & Scottish Railway,6648-6677,1930,"Beyer, Peacock"
2-6-2+2-6-2,2 ft,South African Railways,10747,1930,Hanomag
