Type,Gauge,Railway,Works no.,Year,Builder
4-8-2+2-8-4,3 ft 6 in,South African Railways,7836-7845,1958,"Beyer, Peacock"
4-8-2+2-8-4,3 ft 6 in,South Australian Railways,2973-2982,1953,"Franco-Belge, France"
4-8-2+2-8-4,3 ft 6 in,Western Australian Government Railways,CLTB 10,1944,"Australian Standard, Newport"
4-8-2+2-8-4,3 ft 6 in,Western Australian Government Railways,CLTB 20,1943-44,"Australian Standard, Islington"
4-8-2+2-8-4,3 ft 6 in,Western Australian Government Railways,CLTB 26-30,1943-44,"Australian Standard, Midland Junction"
4-8-2+2-8-4,3 ft 6 in,Western Australian Government Railways,CLTB 31-32,1945,"Australian Standard, Newport"
4-8-2+2-8-4,3 ft 6 in,Western Australian Government Railways,CLTB 44-45,1944 ca,"Australian Standard, Islington"
4-8-2+2-8-4,3 ft 6 in,Western Australian Government Railways,CLTB 46-50,1944 ca,"Australian Standard, Midland Junction"
4-8-2+2-8-4,3 ft 6 in,Western Australian Government Railways,CLTB 54-59,1945,"Australian Standard, Clyde"
4-8-2+2-8-4,3 ft 6 in,Western Australian Government Railways,CLTB 63-65,1945,"Australian Standard, Clyde"
4-8-2+2-8-4,3 ft 6 in,Tasmanian Government Railways,CLTB 37-38,1945,"Australian Standard, Clyde"
4-8-2+2-8-4,3 ft 6 in,Tasmanian Government Railways,CLTB 6-8,1944,"Australian Standard, Newport"
4-8-2+2-8-4,3 ft 6 in,Tasmanian Government Railways,CLTB 60-62,1945,"Australian Standard, Clyde"
4-8-2+2-8-4,4 ft 8½ in,Iranian State Railway,6787-6790,1936,"Beyer, Peacock"
4-8-2+2-8-4,5 ft,Soviet Railways,6737,1932,"Beyer, Peacock"
4-8-2+2-8-4,5 ft 6 in,"Bengal Nagpur Railway, India",6931-6934,1939,"Beyer, Peacock"
4-8-2+2-8-4,5 ft 6 in,"Buenos Aires & Pacific Railway, Argentina",6715,1931,"Beyer, Peacock"
4-8-2+2-8-4,5 ft 6 in,"Buenos Aires & Pacific Railway, Argentina",6532-6534,1930,"Beyer, Peacock"
4-8-2+2-8-4,5 ft 6 in,"Buenos Aires Great Southern, Argentina",6417-6428,1928,"Beyer, Peacock"
4-8-4+4-8-4,1000 mm,Kenya Uganda Railway,6905-6910,1939,"Beyer, Peacock"
4-8-4+4-8-4,1000 mm,Kenya Uganda Railway,6970-6975,1940,"Beyer, Peacock"
4-8-4+4-8-4,1000 mm,Kenya Uganda Railway,7290-7307,1949,"Beyer, Peacock"
4-8-4+4-8-4,4 ft 8½ in,New South Wales Government Railways,7473-7497,1952,"Beyer, Peacock"
4-8-4+4-8-4,4 ft 8½ in,New South Wales Government Railways,7528-7544,1952,"Beyer, Peacock"
4-8-4+4-8-4,4 ft 8½ in,New South Wales Government Railways,7545-7549,1952,"Beyer, Peacock"
