Name,Country,Ambassador since,Projects and activities they support,Link
Omer Zülfü Livaneli,Turkey,20 September 1996,Promotion of peace and polerance through music and promotion of human rights,[26]
Princess Maha Chakri Sirindhorn of Thailand,Thailand,24 March 2005,Empowerment of Minority Children and the Preservation of their Intangible Cultural Heritage,[27]
Jean Malaurie,France,17 July 2007,"In charge of arctic polar issues, promoting environmental issues and safeguarding the culture and knowledge of the peoples of the Arctic",[28]
Keith Chatsauka-Coetzee,South Africa,12 July 2012,,[29]
Grand Duchess María Teresa of Luxembourg,Luxembourg,10 June 1997,"Education, Women's rights, microfinance and campaign against poverty",[30]
Rigoberta Menchu Túm,Guatemala,21 June 1996,"Promotion of Culture of Peace, protection of rights of indigenous people",[31]
Oskar Metsavaht,Brazil,27 May 2011,,[32]
Vik Muniz,Brazil,27 May 2011,,[33]
Kitín Muñoz,Spain,22 April 1997,Protection and promotion of indigenous cultures and their environment,[34]
Ute-Henriette Ohoven,Germany,1992,UNESCO Special Ambassador for Education of Children in Need,[35]
Cristina Owen-Jones,Italy,23 March 2004,HIV/AIDS Prevention Education Program,[36]
Kim Phuc Phan Thi,Vietnam,10 November 1994,"Protection and education for children, orphans and innocent victims of war",[37]
