Name,Country,Ambassador since,Projects and activities they support,Link,Random_Column_1
Susana Rinaldi,Argentina,28 April 1992,"Street children, Culture of Peace",[38],QD6V0G
Yazid Sabeg,Algeria,16 February 2010,,[39],qegFl
Sheikh Ghassan I. Shaker,Saudi Arabia,1989,"Fundraising, children and women in need, victims of war, education, microfinance",[40],BixkgwM1
Hayat Sindi,Saudi Arabia,1 October 2012,Promotion of science education for Arab women,[41],aH8tjH
Madanjeet Singh,India,16 November 2000,"Founder of the South Asia Foundation, which promotes regional cooperation through education and sustainable development",[42],H0XTPC
Zurab Tsereteli,Georgia,30 March 1996,Cultural and artistic projects,[43],Vd8o7
Giancarlo Elia Valori,Italy,2001,Safeguarding of Intangible Heritage,[44],mnbmF
Marianna Vardinoyannis,Greece,21 October 1999,Protection of childhood; promotion of cultural olympics; humanitarian relief for war victims,[45],ASToUWg
Milú Villela,Brazil,10 November 2004,Voluntary Action and Basic Education in Latin America,[46],4PU0y4j
Forest Whitaker,United States,,,[47],fB31kZ52
Sunny Varkey,India,,Promoter of education,[48],oSfMML
Laura Welch Bush,United States,13 February 2003,UNESCO Honorary Ambassador for the Decade of Literacy in the context of the United Nations Literacy Decade (2003–2012),[49],EyggPER1
