Name,Country,Ambassador since,Projects and activities they support,Link,Noise_Field_1,Irrelevant_2,Irrelevant_3
Ara Abramyan,Russia,15 July 2003,Dialogue among Civilizations,[1],jUXulMD,UGBMf,gVKYAZIf
Valdas Adamkus,Lithuania,29 September 2003,Construction of Knowledge Societies,[2],rslWQcll,3NLUdZY,3b1gr
Mehriban Aliyeva,Azerbaijan,9 September 2004,"Promotion and safeguarding of intangible cultural heritage, especially oral traditions and expressions",[3],BoSlAD,CvxIX,aOGQxbj
Alicia Alonso,Cuba,7 June 2002,Promotion of ballet dancing (Programme of Intangible Heritage),[4],IMpQY,czCmt,9I9Xi
Ivonne A-Baki,Ecuador,15 February 2010,Peace,[5],LeLUUpC,exZaQpig,I7KJm1PE
Patrick Baudry,France,September 1999,"Education of young people through seminars, science conferences and projects in the field",[6],CAFmqawO,0dQIp,r9fBo4s
Pierre Bergé,France,2 July 1993,"Campaign against HIV/AIDS, human rights, Cultural Heritage",[7],TGexQ,s7E7rx,1sP6g
Chantal Biya,Cameroon,14 November 2008,Education and Social Inclusion,[8],JlXHQ,J4O3l6rB,lFUm350
Montserrat Caballé,Spain,22 April 1994,Fundraising for children in distress and victims of war,[9],VLOovT,XBkVp4b,X2VLaTOQ
Pierre Cardin,France,1991,"Promotion of the Chernobyl Program, creation of the Six Flags of Tolerance in 1995 and distribution in UNESCO Member States",[10],MuXREpDq,uJdT5uDo,h0YELG7
Claudia Cardinale,Italy,March 2000,"Promotion of women's rights, especially for women in the Mediterranean; Environment issues",[11],hwrBWs,MvxpX,5XZdV0as
The Princess of Hanover,Monaco,2 December 2003,"Protection of children and the family, empowerment of women and girls in Africa",[12],UNzSVOdP,FKfv3q,HRQhB
Esther Coopersmith,United States,,,[13],xhzeSMHC,4FzW4,X1yRkAYI
