Name,Country,Ambassador since,Projects and activities they support,Link,Irrelevant_1,Extra_Data_2,Random_Column_3
Cheick Modibo Diarra,Mali,1998,"Promotion of education, especially in sciences, sustainable development in Africa",[14],GHOVkwNa,353,j6iua8f
Miguel Angel Estrella,Argentina,26 October 1989,Promotion of Culture of Peace and tolerance through music,[15],xoN6ox3,861,61XlA
Vigdís Finnbogadóttir,Iceland,1998,"Promotion of linguistic diversity, women's rights, education",[16],wiu0ZzFq,513,j8rAqpi
Princess Firyal of Jordan,Jordan,1992,"Promotion of the Education for All initiative, humanitarian actions, World Heritage, women's rights, especially Arab women",[17],HQner,358,A8eFRl
Ivry Gitlis,Israel,1990,Support of education and Culture of Peace and Tolerance,[18],DHtX6,122,kJ7nD
Nizan Guanaes,Brazil,27 May 2011,,[19],Gu0wOdw,588,HGYOn
Christine Hakim,Indonesia,11 March 2008,Teacher education in South East Asia,[20],pbYdD,790,lJ4W97PF
Bahia Hariri,Lebanon,17 November 2000,"Preservation of World Heritage, education, culture, women's rights and sustainable development in the Arab world",[21],wAdQif,831,d4hI7jd0
Vitaly Ignatenko,Russia,2008,Building of the capacities of the Russian language journalists and promotion of the free circulation of ideas in the Russian-speaking world,[22],Pt2mRG38,782,FOZ1pQa7
Jean Michel Jarre,France,24 May 1993,"Protection of the environment (water, fight against desertification, renewable energies), youth and tolerance, safeguarding of World Heritage",[23],UXN9Jos,297,PXeqcj
Marc Ladreit de Lacharrière,France,27 August 2009,,[24],923gX,121,F7b7q
Princess Lalla Meryem of Morocco,Morocco,July 2001,Protection of childhood and women's rights,[25],P6B1d6kU,732,1cK89pb
