Tie no,Home team,Score,Away team,Attendance,Irrelevant_1,Filler_2,Irrelevant_3
11,Altrincham,1–2,Darlington,,C14dwBo,LEwGQ,H3X4PFE
12,Exeter City,0–0,Dagenham & Redbridge,,bPUnpUb,WKZrODF,qckxVm
replay,Dagenham & Redbridge,3 – 0,Exeter City,,YmkAiX4,iJCwfyDu,sQe6wmP
13,Scunthorpe United,3–2,Brentford,,PkSIBWOa,YMaIH,KLGmy
14,Mansfield Town,4–0,Huddersfield Town,"6,836",JQ9SmlKx,WjtfV,WqwZe
15,Cardiff City,3–0,Port Vale,,KduEDD4,SHdAG,zgKf3xV
16,Halifax Town,1–1,Stoke City,"3,335",6ZSYtZ8,pCJPkM,AslN01w
replay,Stoke City,3 – 0,Halifax Town,"4,356",b9wEUBp1,DFNRh,IhWChm
17,York City,2–0,Reading,,3zPaF,gpgBbawN,RGx8upYZ
18,Peterborough United,1–0,Bournemouth,,JqMnkl,VTYwOu,KEk9u
19,Leyton Orient,2–1,Lincoln City,,ObaAqvP8,ThWpriH,6X3q92
20,Hinckley United,0–2,Cheltenham Town,,x2bseAj8,glygYxW,onx4qWI
