Tie no,Home team,Score,Away team,Attendance
1,Blackpool,2–0,Rochdale,
2,Chesterfield,1–1,Southend United,
replay,Southend United,2 – 0,Chesterfield,
3,Canvey Island,1–0,Northampton Town,
4,Macclesfield Town,4–1,Swansea City,
5,Swindon Town,3–2,Hereford United,
6,Tranmere Rovers,6–1,Carlisle United,
7,Wycombe Wanderers,3–0,Notts County,
8,Brighton & Hove Albion,2–1,Rushden & Diamonds,"5,647"
9,Plymouth Argyle,1–1,Bristol Rovers,
replay,Bristol Rovers,3 – 2,Plymouth Argyle,
10,Hull City,2–3,Oldham Athletic,"9,422"
