Player,Years Played,Total W-L,Singles W-L,Doubles W-L
Jun Woong-sun,5 (2004–2008),12–8,9–5,3–3
Kim Bong-Soo,7 (1984–1990),18–9,13–8,5–1
Kim Bong-Suk,5 (1977–1981),2–6,1–3,1–3
Kim Chi-Wan,4 (1992–1995),6–4,1–1,5–3
Kim Choon-Ho,6 (1979–1984),8–11,7–8,1–3
Kim Dong-Hyun,"7 (1997–1999, 2001–2003, 2005)",5–7,3–4,2–3
Kim Doo-Hwan,"8 (1962–1967, 1969, 1971)",2–15,2–11,0–4
Kim Jae-Sik,"3 (1989–1990, 1992)",5–4,4–2,1–2
Kim Ke-Hwan,1 (1960),0–1,0–0,0–1
Kim Moon-Il,"6 (1968, 1972–1975, 1977)",3–13,2–8,1–5
Kim Nam-Hoon,1 (1998),1–0,0–0,0–1
