Serial number,River,Name,Area (km²),District,Co-ordinate,Altitude (m)
12.,Chalakkudy,Peringalkuthu Dam,2.63,Thrissur,,
13.,Kallada,Parappar,25.90,Kollam,"09° 57' 77° 4'20\"",""14.""",Karamana
15.,Karuvanoor,Peechi,12.63,Thrissur,10°32′N 76°23′E﻿ / ﻿10.53°N 76.39°E,73
16.,Keecheri,Vazhani,2.55,Thrissur,10° 40' 76° 15',
17.,Kuttiadi,Kuttiadi,10.52,Kozhikode,"11° 36' 75° 49'27\"",""18.""",Neyyar
19.,Pamba,Pamba,5.70,Pathanamthitta,09° 20' 76° 53',
20.,Pamba,Kakki,18.00,Pathanamthitta,,
21.,Periyar,Idukki,61.60,Idukki,09° 48' 76° 53',720
22.,Periyar,Ponmudi,2.60,Idukki,09° 55' 77° 05',
23.,Periyar,Anayirankal,4.33,Idukki,10° 0' 77° 0',
