Serial number,River,Name,Area (km²),District,Co-ordinate,Altitude (m),Noise_Field_1,Irrelevant_2
24.,Periyar,Kundala,2.30,Idukki,10° 0' 77° 0',,naYzfg,VbsJHIK0
25.,Periyar,Mattupatti,3.24,Idukki,10° 05' 77° 05',,fmCAPvBy,FHGCb
26.,Periyar,Sengulam,0.33,Idukki,10° 00' 77° 05',,nuknIb,8mEcDkgW
27.,Periyar,Neriamangalam,4.13,Idukki,,,ikkXWwF,yIvW4II
28.,Periyar,Bhoothathankettu,6.08,Idukki,,,FdIEvya,Ta4wrAEu
29.,Periyar,Periyar lake,28.90,Idukki,10° 10' 76° 15',,KcJIepmr,TnUvFWQP
30.,Valapattanam,Pazhassi,6.48,Kannur,,,HwAVZ,UEOrjv
31.,Vamanapuram,Peppara,5.82,Thiruvananthapuram,,,FjbRE,fVFdJWtD
32.,Muvattupuzhayar,Malankara,11.00,Idukki,,,zQBowJR,yLyRnbn
33.,Chimmini dam,Thrissur,85.067,Thrissur,,,LHBvz,mAT7i73y
