Serial number,River,Name,Area (km²),District,Co-ordinate,Altitude (m)
1.,Bharathapuzha,Malampuzha,23.13,Palakkad,10°50′N 76°41′E﻿ / ﻿10.84°N 76.69°E,104
2.,Bharathapuzha,Mangalam,3.93,Palakkad,10°31′N 76°32′E﻿ / ﻿10.51°N 76.54°E,72
3.,Bharathapuzha,Meenkara,2.59,Palakkad,10°37′N 76°48′E﻿ / ﻿10.62°N 76.80°E,152
4.,Bharathapuzha,Chulliar,1.59,Palakkad,10°35′N 76°46′E﻿ / ﻿10.59°N 76.77°E,143
5.,Bharathapuzha,Pothundi,3.63,Palakkad,10°32′N 76°38′E﻿ / ﻿10.54°N 76.63°E,93
6.,Bharathapuzha,Walayar,2.59,Palakkad,10°50′N 76°52′E﻿ / ﻿10.84°N 76.86°E,197
7.,Bharathapuzha,Kanjirampuzha,5.12,Palakkad,10°59′N 76°33′E﻿ / ﻿10.98°N 76.55°E,90
8.,Chalakkudy,Parambikulam,20.92,Palakkad,10°23′N 76°48′E﻿ / ﻿10.39°N 76.8°E,545
9.,Chalakkudy,Thunakkadavu,2.83,Palakkad,10°25′59″N 76°47′02″E﻿ / ﻿10.433°N 76.784°E,565
10.,Chalakkudy,Peruvaaripallam,,Palakkad,10°26′49″N 76°46′12″E﻿ / ﻿10.447°N 76.77°E,565
11.,Chalakkudy,Sholayar Dam,8.70,Thrissur,10° 17' 76° 45',
