No.,Name,Position,Date of Birth (Age),Signed from,Notes
1,Leonardo Burián,GK,"January 21, 1984 (age 30)",Bella Vista,First team goalkeeper
2,Darwin Torres,DF,"February 16, 1991 (age 23)",The Academy,Reserve team player
3,Jadson Viera,DF,"August 4, 1981 (age 32)",Vasco da Gama,AUF player
4,Christian Núñez,DF,"September 24, 1982 (age 31)",Cerro,
5,Santiago Romero,MF,"February 15, 1990 (age 24)",The Academy,Reserve team player
6,Alexis Rolín,DF,"March 2, 1989 (age 25)",The Academy,
7,Rafael García,MF,"January 6, 1989 (age 25)",Rampla Juniors,
8,Matías Cabrera,MF,"May 16, 1986 (age 28)",Cerro,
9,Alexander Medina,FW,"August 8, 1978 (age 35)",River Plate,Captain
10,Tabaré Viudez,FW,"September 8, 1989 (age 24)",Necaxa,
11,Vicente Sánchez,FW,"December 7, 1979 (age 34)",América,In on 15 January 2012
12,Martín Tejera,GK,"February 16, 1991 (age 23)",The Academy,
